date,px_3m,px_cash,curve_cash_minus_3m,curve_z120,trend_signal,hook_signal,ret_1d,position_trend,position_hook,log_mom_20d,log_mom_60d,log_mom_120d
2021-11-19,9545,106.5,-9438.5,-0.0142178939554585,1.0,0.0,0.014346439957491963,1.0,0.0,-0.033482396267679335,0.02117601627018477,-0.03307704563383551
2021-11-22,9615,109.0,-9506.0,-0.33025017404015655,1.0,0.0,0.007333682556312171,1.0,0.0,-0.019670064188298413,0.028482938133216902,-0.025567386821300133
2021-11-23,9722,94.5,-9627.5,-0.900547791004666,1.0,0.0,0.011128445137805532,1.0,0.0,-0.00850110102504589,0.027530414401579658,-0.0183453983159676
2021-11-24,9790,60.0,-9730.0,-1.3941643020850716,1.0,0.0,0.006994445587327647,1.0,0.0,0.01907766032189911,0.0502723652534434,-0.011577259399821228
2021-11-25,9895,90.0,-9805.0,-1.7496181951980154,0.0,0.0,0.010725229826353377,0.0,0.0,0.023932416519156587,0.05622551975083465,0.006183810064781489
2021-11-26,9520,112.0,-9408.0,0.06672806319549346,0.0,1.0,-0.03789792824658922,0.0,1.0,-0.01044941587434112,0.01566832815772467,-0.05517231586831922
2021-11-29,9610,85.0,-9525.0,-0.5315917436664741,1.0,0.0,0.009453781512605008,1.0,0.0,0.012565610360364694,0.02081875211708516,-0.033259653021579016
2021-11-30,9510,73.0,-9437.0,-0.10187374306154194,1.0,0.0,-0.010405827263267442,1.0,0.0,-0.0010509722459750043,0.018037624316547603,-0.008064137537560584
2021-12-01,9510,48.0,-9462.0,-0.23160090733533578,1.0,0.0,0.0,1.0,0.0,-0.008377012338047905,0.024482329759189812,-0.0029399433187336224
2021-12-02,9421,94.0,-9327.0,0.43750662293935266,1.0,0.0,-0.009358569926393279,1.0,0.0,-0.015691965398332168,0.004254872922716671,-0.003708220597211738
2021-12-03,9455,68.0,-9387.0,0.14312184040165812,1.0,0.0,0.0036089587092664743,1.0,0.0,0.002647605465054616,-0.008320654672213145,0.02408465359566013
2021-12-06,9480,53.25,-9426.75,-0.042937667430601296,-1.0,0.0,0.0026441036488631386,-1.0,0.0,-0.006309169193264721,-0.016736792355523864,0.04421205213988522
2021-12-07,9606,17.5,-9588.5,-0.8490304238513431,-1.0,0.0,0.0132911392405064,-1.0,0.0,-0.0056057449817939935,0.01997753328465715,0.04133829823110547
2021-12-08,9565,2.25,-9562.75,-0.7083003264081055,1.0,0.0,-0.0042681657297521935,1.0,0.0,-0.0005226025726466809,0.006292626951823811,0.02584068381319624
2021-12-09,9557,7.25,-9549.75,-0.6370629973184297,1.0,0.0,-0.0008363826450601408,1.0,0.0,-0.007609355525991616,0.014438781695770866,0.014438781695770866
2021-12-10,9531,0.4,-9530.6,-0.5378583822593742,1.0,0.0,-0.0027205189913153127,1.0,0.0,-0.0089827217748559,0.007794435922113752,0.0074772608917018655
2021-12-13,9506,-12.5,-9518.5,-0.4709502468092473,1.0,0.0,-0.0026230196201867395,1.0,0.0,-0.023496246729458513,0.04013844952426857,0.015050628563153416
2021-12-14,9480,-5.5,-9485.5,-0.29606659367239385,1.0,0.0,-0.0027351146644224444,1.0,0.0,-0.017773599083964163,0.04014096768124884,0.024344571897737602
2021-12-15,9285,15.0,-9270.0,0.7855007547231483,1.0,0.0,-0.020569620253164556,1.0,0.0,-0.022365149459580052,0.004209169238635376,-0.012947588718187077
2021-12-16,9495,17.0,-9478.0,-0.26054151198050274,1.0,0.0,0.022617124394184174,1.0,0.0,0.008992390666960916,0.02603369047506755,0.013465717968833016
2021-12-17,9505,30.0,-9475.0,-0.2402412968935938,1.0,0.0,0.0010531858873090716,1.0,0.0,-0.0041994812373184805,0.024926727315547063,0.01922625476688174
2021-12-20,9390,16.5,-9373.5,0.26718155074231476,1.0,0.0,-0.012098895318253589,1.0,0.0,-0.02367908582057155,0.006624663612035023,-0.0075327925021356655
2021-12-21,9511,25.5,-9485.5,-0.3032935566896299,1.0,0.0,0.012886048988285381,1.0,0.0,-0.021942335123015258,0.026744974842160454,-0.004929476655718039
2021-12-22,9615,32.0,-9583.0,-0.7924349001277905,1.0,0.0,0.010934707181158743,1.0,0.0,-0.01803707750167592,0.04238327508720756,0.01382365713915271
2021-12-23,9582,26.0,-9556.0,-0.6461343793445615,1.0,0.0,-0.00343213728549141,1.0,0.0,-0.03214324059359863,0.060331145786428696,0.030087015192537377
2021-12-24,9566,27.0,-9539.0,-0.5589472096219049,1.0,0.0,-0.0016697975370486562,1.0,0.0,0.0048202964548311866,0.04983084766288642,0.009452858961566106
