date,regime,vol_regime,trend_regime,vol_percentile,TrendMedium_weight,TrendImpulse_weight,MomentumCore_weight,Cash_weight
2013-09-10,medium_vol_ranging,MEDIUM,RANGING,0.6428571428571429,0.58,0.0,0.42,0.0
2013-09-11,medium_vol_ranging,MEDIUM,RANGING,0.6349206349206349,0.58,0.0,0.42,0.0
2013-09-12,high_vol_ranging,HIGH,RANGING,0.6746031746031746,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0
2013-09-13,medium_vol_ranging,MEDIUM,RANGING,0.6626984126984127,0.58,0.0,0.42,0.0
2013-09-16,medium_vol_ranging,MEDIUM,RANGING,0.6547619047619048,0.58,0.0,0.42,0.0
2013-09-17,medium_vol_ranging,MEDIUM,RANGING,0.6150793650793651,0.58,0.0,0.42,0.0
2013-09-18,medium_vol_ranging,MEDIUM,RANGING,0.6150793650793651,0.58,0.0,0.42,0.0
2013-09-19,medium_vol_ranging,MEDIUM,RANGING,0.6111111111111112,0.58,0.0,0.42,0.0
2013-09-20,medium_vol_ranging,MEDIUM,RANGING,0.6031746031746031,0.58,0.0,0.42,0.0
2013-09-23,medium_vol_ranging,MEDIUM,RANGING,0.5952380952380952,0.58,0.0,0.42,0.0
2013-09-24,medium_vol_ranging,MEDIUM,RANGING,0.6031746031746031,0.58,0.0,0.42,0.0
2013-09-25,medium_vol_ranging,MEDIUM,RANGING,0.6071428571428571,0.58,0.0,0.42,0.0
2013-09-26,medium_vol_ranging,MEDIUM,RANGING,0.5793650793650794,0.58,0.0,0.42,0.0
2013-09-27,medium_vol_ranging,MEDIUM,RANGING,0.5753968253968254,0.58,0.0,0.42,0.0
2013-09-30,medium_vol_ranging,MEDIUM,RANGING,0.5634920634920635,0.58,0.0,0.42,0.0
2013-10-01,medium_vol_ranging,MEDIUM,RANGING,0.5753968253968254,0.58,0.0,0.42,0.0
2013-10-02,medium_vol_ranging,MEDIUM,RANGING,0.4880952380952381,0.58,0.0,0.42,0.0
2013-10-03,medium_vol_ranging,MEDIUM,RANGING,0.5396825396825397,0.58,0.0,0.42,0.0
2013-10-04,medium_vol_ranging,MEDIUM,RANGING,0.5,0.58,0.0,0.42,0.0
2013-10-07,medium_vol_ranging,MEDIUM,RANGING,0.43253968253968256,0.58,0.0,0.42,0.0
2013-10-08,medium_vol_ranging,MEDIUM,RANGING,0.4007936507936508,0.58,0.0,0.42,0.0
2013-10-09,medium_vol_ranging,MEDIUM,RANGING,0.42063492063492064,0.58,0.0,0.42,0.0
2013-10-10,medium_vol_ranging,MEDIUM,RANGING,0.4246031746031746,0.58,0.0,0.42,0.0
2013-10-11,medium_vol_ranging,MEDIUM,RANGING,0.4126984126984127,0.58,0.0,0.42,0.0
2013-10-14,medium_vol_ranging,MEDIUM,RANGING,0.40476190476190477,0.58,0.0,0.42,0.0
2013-10-15,medium_vol_ranging,MEDIUM,RANGING,0.4087301587301587,0.58,0.0,0.42,0.0
2013-10-16,medium_vol_ranging,MEDIUM,RANGING,0.4126984126984127,0.58,0.0,0.42,0.0
2013-10-17,medium_vol_ranging,MEDIUM,RANGING,0.39285714285714285,0.58,0.0,0.42,0.0
2013-10-18,medium_vol_ranging,MEDIUM,RANGING,0.3968253968253968,0.58,0.0,0.42,0.0
2013-10-21,medium_vol_ranging,MEDIUM,RANGING,0.39285714285714285,0.58,0.0,0.42,0.0
2013-10-22,medium_vol_ranging,MEDIUM,RANGING,0.4126984126984127,0.58,0.0,0.42,0.0
2013-10-23,medium_vol_ranging,MEDIUM,RANGING,0.4166666666666667,0.58,0.0,0.42,0.0
2013-10-24,medium_vol_ranging,MEDIUM,RANGING,0.4166666666666667,0.58,0.0,0.42,0.0
2013-10-25,medium_vol_ranging,MEDIUM,RANGING,0.36507936507936506,0.58,0.0,0.42,0.0
2013-10-28,low_vol_ranging,LOW,RANGING,0.32142857142857145,0.38,0.18,0.44,0.0
2013-10-29,low_vol_ranging,LOW,RANGING,0.32142857142857145,0.38,0.18,0.44,0.0
2013-10-30,low_vol_ranging,LOW,RANGING,0.3253968253968254,0.38,0.18,0.44,0.0
2013-10-31,low_vol_ranging,LOW,RANGING,0.32936507936507936,0.38,0.18,0.44,0.0
2013-11-01,low_vol_ranging,LOW,RANGING,0.32936507936507936,0.38,0.18,0.44,0.0
2013-11-04,medium_vol_ranging,MEDIUM,RANGING,0.3492063492063492,0.58,0.0,0.42,0.0
2013-11-05,low_vol_ranging,LOW,RANGING,0.2896825396825397,0.38,0.18,0.44,0.0
2013-11-06,low_vol_ranging,LOW,RANGING,0.26587301587301587,0.38,0.18,0.44,0.0
2013-11-07,low_vol_ranging,LOW,RANGING,0.27380952380952384,0.38,0.18,0.44,0.0
2013-11-08,low_vol_ranging,LOW,RANGING,0.27380952380952384,0.38,0.18,0.44,0.0
2013-11-11,low_vol_ranging,LOW,RANGING,0.25793650793650796,0.38,0.18,0.44,0.0
2013-11-12,low_vol_ranging,LOW,RANGING,0.2896825396825397,0.38,0.18,0.44,0.0
2013-11-13,low_vol_ranging,LOW,RANGING,0.3253968253968254,0.38,0.18,0.44,0.0
2013-11-14,low_vol_ranging,LOW,RANGING,0.3055555555555556,0.38,0.18,0.44,0.0
2013-11-15,low_vol_ranging,LOW,RANGING,0.30952380952380953,0.38,0.18,0.44,0.0
2013-11-18,low_vol_ranging,LOW,RANGING,0.2698412698412698,0.38,0.18,0.44,0.0
