dt,value,symbol,signal
2000-01-31,0.0022817576627548464,copper_comex_3mo,hook_5_20
2000-01-31,-0.005724098454493398,copper_comex_3mo,mom_20
2000-01-31,-0.13079340141398277,copper_lme_cash_3mo,hook_5_20
2000-01-31,0.10447761194029859,copper_lme_cash_3mo,mom_20
2000-02-01,0.0,copper_comex_3mo,hook_5_20
2000-02-01,0.002908667830133771,copper_comex_3mo,mom_20
2000-02-01,-1.0,copper_lme_3mo,mom_20
2000-02-01,-0.07045230379033396,copper_lme_cash_3mo,hook_5_20
2000-02-01,0.06382978723404253,copper_lme_cash_3mo,mom_20
2000-02-02,0.010169201358176228,copper_comex_3mo,hook_5_20
2000-02-02,-0.029971181556195936,copper_comex_3mo,mom_20
2000-02-02,-0.08458646616541354,copper_lme_cash_3mo,hook_5_20
2000-02-02,0.0714285714285714,copper_lme_cash_3mo,mom_20
2000-02-03,0.0034056813782424866,copper_comex_3mo,hook_5_20
2000-02-03,-0.02256944444444453,copper_comex_3mo,mom_20
2000-02-03,-0.06340425531914906,copper_lme_cash_3mo,hook_5_20
2000-02-03,0.05673758865248235,copper_lme_cash_3mo,mom_20
2000-02-04,0.01432399869153822,copper_comex_3mo,hook_5_20
2000-02-04,-0.022530329289428108,copper_comex_3mo,mom_20
2000-02-04,-0.08325626204238923,copper_lme_cash_3mo,hook_5_20
2000-02-04,0.07658959537572252,copper_lme_cash_3mo,mom_20
2000-02-07,-0.01021198612279095,copper_comex_3mo,hook_5_20
2000-02-07,-0.014543339150668966,copper_comex_3mo,mom_20
2000-02-07,-0.014161421695668253,copper_lme_cash_3mo,hook_5_20
2000-02-07,0.047945205479452024,copper_lme_cash_3mo,mom_20
2000-02-08,-0.005113878498034907,copper_comex_3mo,hook_5_20
2000-02-08,-0.020408163265306145,copper_comex_3mo,mom_20
2000-02-08,0.0,copper_lme_cash_3mo,hook_5_20
2000-02-08,0.006666666666666599,copper_lme_cash_3mo,mom_20
2000-02-09,0.04214227040568719,copper_comex_3mo,hook_5_20
2000-02-09,-0.04154809334092191,copper_comex_3mo,mom_20
2000-02-09,0.025800865800865713,copper_lme_cash_3mo,hook_5_20
2000-02-09,-0.03246753246753242,copper_lme_cash_3mo,mom_20
2000-02-10,0.030125967211776072,copper_comex_3mo,hook_5_20
2000-02-10,-0.0022988505747126853,copper_comex_3mo,mom_20
2000-02-10,0.0,copper_lme_cash_3mo,hook_5_20
2000-02-10,-0.05637583892617448,copper_lme_cash_3mo,mom_20
2000-02-11,0.03443186129371534,copper_comex_3mo,hook_5_20
2000-02-11,-0.01256424900057107,copper_comex_3mo,mom_20
2000-02-11,0.018624161073825585,copper_lme_cash_3mo,hook_5_20
2000-02-11,-0.07500000000000007,copper_lme_cash_3mo,mom_20
2000-02-14,0.03318697293568795,copper_comex_3mo,hook_5_20
2000-02-14,-0.013706453455168521,copper_comex_3mo,mom_20
2000-02-14,0.006196417961123912,copper_lme_cash_3mo,hook_5_20
2000-02-14,-0.051948051948051965,copper_lme_cash_3mo,mom_20
2000-02-15,0.045806277056276934,copper_comex_3mo,hook_5_20
2000-02-15,-0.03806818181818172,copper_comex_3mo,mom_20
2000-02-15,0.024951933347575395,copper_lme_cash_3mo,hook_5_20
2000-02-15,-0.058064516129032295,copper_lme_cash_3mo,mom_20
2000-02-16,0.059569527196486005,copper_comex_3mo,hook_5_20
2000-02-16,-0.05363128491620106,copper_comex_3mo,mom_20
2000-02-16,0.02614379084967322,copper_lme_cash_3mo,hook_5_20
2000-02-16,-0.02614379084967322,copper_lme_cash_3mo,mom_20
2000-02-17,0.021099704383335305,copper_comex_3mo,hook_5_20
2000-02-17,-0.036076662908680945,copper_comex_3mo,mom_20
2000-02-17,0.04871977240398295,copper_lme_cash_3mo,hook_5_20
2000-02-17,-0.07432432432432434,copper_lme_cash_3mo,mom_20
2000-02-18,0.024443511485990776,copper_comex_3mo,hook_5_20
2000-02-18,-0.03948110547095318,copper_comex_3mo,mom_20
2000-02-18,0.02317449027975349,copper_lme_cash_3mo,hook_5_20
2000-02-18,-0.04166666666666663,copper_lme_cash_3mo,mom_20
2000-02-21,0.009052007517206029,copper_comex_3mo,hook_5_20
2000-02-21,-0.022948938611589198,copper_comex_3mo,mom_20
2000-02-21,0.03839221341023791,copper_lme_cash_3mo,hook_5_20
2000-02-21,-0.06578947368421051,copper_lme_cash_3mo,mom_20
2000-02-22,0.015142940493088619,copper_comex_3mo,hook_5_20
2000-02-22,-0.013961605584642212,copper_comex_3mo,mom_20
2000-02-22,0.03175179170824638,copper_lme_cash_3mo,hook_5_20
2000-02-22,-0.07284768211920534,copper_lme_cash_3mo,mom_20
2000-02-23,0.01358523934899214,copper_comex_3mo,hook_5_20
2000-02-23,0.0005824111822947398,copper_comex_3mo,mom_20
2000-02-23,0.01814729777463797,copper_lme_cash_3mo,hook_5_20
2000-02-23,-0.09868421052631582,copper_lme_cash_3mo,mom_20
2000-02-24,0.006972716343704666,copper_comex_3mo,hook_5_20
2000-02-24,-0.006387921022067311,copper_comex_3mo,mom_20
2000-02-24,0.08287104622871055,copper_lme_cash_3mo,hook_5_20
2000-02-24,-0.1266666666666667,copper_lme_cash_3mo,mom_20
2000-02-25,0.0017254565593163296,copper_comex_3mo,hook_5_20
2000-02-25,-0.0205158264947245,copper_comex_3mo,mom_20
2000-02-25,0.07652173913043481,copper_lme_cash_3mo,hook_5_20
2000-02-25,-0.12,copper_lme_cash_3mo,mom_20
2000-02-28,0.01845907743150932,copper_comex_3mo,hook_5_20
