date,signal_weekly,signal_biweekly,position_weekly,position_biweekly,return_weekly,return_biweekly
2000-04-05,1.0,-0.5,0.6957958376788763,0.6957958376788763,-0.0027773967177706855,-0.0027773967177706855
2000-04-06,1.0,-0.5,0.7173765676530027,-0.35868828382650136,-0.022588074671553982,0.011134246162803124
2000-04-07,0.0,-0.5,0.5786329798565684,-0.2893164899282842,-0.0022436923709518016,0.0011010346473064358
2000-04-10,0.0,0.0,0.0,-0.3069357737395805,-8.679494697848525e-05,-0.004646287051788108
2000-04-11,0.0,0.0,0.0,0.0,0.0,-4.604036606093707e-05
2000-04-12,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-04-13,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-04-14,1.0,0.0,0.0,0.0,-0.0,-0.0
2000-04-17,1.0,1.0,0.6006966788928018,0.0,-0.005848730542747508,-0.0
2000-04-18,1.0,1.0,0.6092667196411942,0.6092667196411942,0.01142476912720712,0.011334664625373199
2000-04-19,1.0,-1.0,0.5551695524266987,0.5551695524266987,0.007904040566390992,0.007904040566390992
2000-04-20,1.0,-1.0,0.5487237442825685,-0.5487237442825685,-0.003213635163274132,0.0030470842975461225
2000-04-21,0.0,-1.0,0.5488940732474764,-0.5488940732474764,0.0019395294797983037,-0.0019395805784877761
2000-04-24,0.0,0.0,0.0,-0.5455633731672139,-8.233411098712146e-05,-4.996050120393724e-07
2000-04-25,0.0,0.0,0.0,0.0,0.0,-8.183450597508208e-05
2000-04-26,0.0,-1.0,0.0,0.0,0.0,0.0
2000-04-27,0.0,-1.0,0.0,-0.524260275791191,-0.0,0.0030850005539230126
2000-04-28,-0.5,-1.0,0.0,-0.5235681643847033,0.0,-0.0068114849665553935
2000-05-01,-0.5,-1.0,-0.2541997966685038,-0.5083995933370076,-3.8129969500275566e-05,-2.2752856571543633e-06
2000-05-02,-0.5,-1.0,-0.2572505817257564,-0.5145011634515128,-0.005506677260861265,-0.01101335452172253
2000-05-03,-0.5,-1.0,-0.24146533648685578,-0.48293067297371156,0.002358986439824926,0.004717972879649852
2000-05-04,-0.5,-1.0,-0.23760948712284088,-0.47521897424568177,-0.0006710340408437727,-0.0013420680816875455
2000-05-05,-1.0,-1.0,-0.23821846308006533,-0.47643692616013067,-0.00455801354376118,-0.00911602708752236
2000-05-08,-1.0,-1.0,-0.5463563216406928,-0.5463563216406928,0.0047807816106974306,0.00481651438015944
2000-05-09,-1.0,-1.0,-0.5368381741290584,-0.5368381741290584,-0.0017958728724189069,-0.0017958728724189069
2000-05-10,-1.0,0.0,-0.5522995785789557,-0.5522995785789557,0.0018376571754922775,0.0018376571754922775
2000-05-11,-1.0,0.0,-0.5527735495250107,0.0,-0.00092392661016835,-8.284493678684335e-05
2000-05-12,-1.0,0.0,-0.555398628026166,0.0,-0.009267334162656673,0.0
2000-05-15,-1.0,-1.0,-0.5554954032843553,0.0,-1.4516288728394498e-08,0.0
2000-05-16,-1.0,-1.0,-0.6192436112981122,-0.6192436112981122,-0.00678465644671755,-0.0068679807572102035
2000-05-17,-1.0,0.0,-0.6467938123448468,-0.6467938123448468,0.0052458172453693185,0.0052458172453693185
2000-05-18,-1.0,0.0,-0.6522591702859443,0.0,-0.0007125046594314546,-9.701907185172702e-05
2000-05-19,0.0,0.0,-0.6709578777514174,0.0,0.0032879967741323364,-0.0
2000-05-22,0.0,0.0,0.0,0.0,-0.0001006436816627126,-0.0
2000-05-23,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-05-24,0.0,-0.5,0.0,0.0,0.0,0.0
2000-05-25,0.0,-0.5,0.0,-0.3465399569591588,-0.0,0.003170764776864048
2000-05-26,-0.5,-0.5,0.0,-0.33435062076716315,0.0,-0.0018480493875472964
2000-05-29,-0.5,-0.5,-0.3398834340426378,-0.3398834340426378,-0.0006109222746494468,-0.0005607696815343724
2000-05-30,-0.5,-0.5,-0.3519664655292672,-0.3519664655292672,0.01157603180610818,0.01157603180610818
2000-05-31,-0.5,1.0,-0.26807350681963327,-0.26807350681963327,-0.0009243985928527879,-0.0009243985928527879
2000-06-01,-0.5,1.0,-0.29288151983388855,0.5857630396677771,-0.0011620096984703342,0.00218850151106328
2000-06-02,0.5,1.0,-0.2978264601434751,0.5956529202869502,0.005194880242323142,-0.010392727448832037
2000-06-05,0.5,0.5,0.2805251782202204,0.5610503564404408,0.0011985859860677568,0.0025654870790676456
2000-06-06,0.5,0.5,0.30424379587799605,0.30424379587799605,0.0010371849526580742,0.0010022217612223737
2000-06-07,0.5,0.0,0.30693842730953086,0.30693842730953086,-0.007848261711151583,-0.007848261711151583
2000-06-08,0.5,0.0,0.2732405122262464,0.0,0.003978043158601171,-4.604076409642962e-05
2000-06-09,0.0,0.0,0.26046065244577077,0.0,0.0012704482772335525,0.0
2000-06-12,0.0,0.0,0.0,0.0,-3.9069097866865614e-05,-0.0
2000-06-13,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-14,0.0,-1.0,0.0,0.0,0.0,0.0
2000-06-15,0.0,-1.0,0.0,-0.5274295416048238,0.0,-0.00037743430771403915
2000-06-16,-1.0,-1.0,0.0,-0.5305808795142379,0.0,-0.009598317892577684
2000-06-19,-1.0,-1.0,-0.4990536320914076,-0.4990536320914076,-0.0011832503426291627,-0.0011131213849288762
2000-06-20,-1.0,-1.0,-0.49983420876666323,-0.49983420876666323,0.004707462719057301,0.004707462719057301
2000-06-21,-1.0,1.0,-0.4943938022721949,-0.4943938022721949,-0.0031806419704429787,-0.0031806419704429787
2000-06-22,-1.0,1.0,-0.49070498350379277,0.49070498350379277,-0.0004095877630796134,0.0002612696223979549
2000-06-23,1.0,1.0,-0.49328622652873305,0.49328622652873305,0.006573110557404994,-0.006573884930312477
2000-06-26,1.0,1.0,0.4869632987124581,0.4869632987124581,0.006977917982876171,0.0071240069724899085
2000-06-27,1.0,1.0,0.4733947411073044,0.4733947411073044,-0.0023650705969883805,-0.0023650705969883805
2000-06-28,1.0,0.0,0.47239848006995694,0.47239848006995694,0.0036863492904873497,0.0036863492904873497
2000-06-29,1.0,0.0,0.5619005308913839,0.0,-0.008715424679834894,-7.085977201049353e-05
2000-06-30,0.0,0.0,0.5351198767571581,0.0,0.0030022743443357583,0.0
2000-07-03,0.0,0.0,0.0,0.0,-8.026798151357371e-05,0.0
2000-07-04,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-07-05,0.0,0.5,0.0,0.0,0.0,0.0
2000-07-06,0.0,0.5,0.0,0.28399153085180323,-0.0,-0.00322101541515439
2000-07-07,0.0,0.5,0.0,0.3232142440199336,0.0,0.0001770335392725865
2000-07-10,0.0,0.0,0.0,0.33974932974341565,0.0,0.003648672036420253
2000-07-11,0.0,0.0,0.0,0.0,0.0,-5.096239946151234e-05
2000-07-12,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-13,0.0,0.0,0.0,0.0,-0.0,-0.0
2000-07-14,0.5,0.0,0.0,0.0,-0.0,-0.0
2000-07-17,0.5,0.5,0.3576770376015661,0.0,0.006503760800388469,0.0
2000-07-18,0.5,0.5,0.35670512789976344,0.35670512789976344,0.0005836596601892152,0.000530299677459521
2000-07-19,0.5,0.0,0.3568477817195756,0.3568477817195756,-0.0003887444718415581,-0.0003887444718415581
2000-07-20,0.5,0.0,0.36950932001721365,0.0,0.0006025325904394474,-5.352716725793633e-05
2000-07-21,-1.0,0.0,0.3731013227172784,0.0,0.006295672960202317,0.0
