Date,Price,ret,signal,position_prev,position,strat_ret,equity,costs,is_exec_day,allow
2000-01-03,1888.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-04,1865.0,-0.012443738416732852,0.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-01-05,1875.0,0.00536193029490617,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-06,1869.0,-0.0031999999999999806,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-01-07,1876.0,0.0037453183520599342,1.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-01-10,1859.0,-0.009061833688699394,-1.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-01-11,1859.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-01-12,1882.0,0.012372243141473893,1.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-13,1882.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-14,1888.0,0.0031880977683316214,0.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-01-17,1897.0,0.004766949152542388,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-18,1904.0,0.0036900369003689537,0.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-01-19,1934.0,0.015756302521008347,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-20,1923.0,-0.0056876938986556436,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-01-21,1918.0,-0.0026001040041602197,-1.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-01-24,1891.5,-0.013816475495307623,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-01-25,1882.0,-0.005022468939994695,0.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-01-26,1854.0,-0.014877789585547307,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-01-27,1864.0,0.005393743257820827,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-01-28,1858.0,-0.0032188841201716833,0.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-01-31,1868.0,0.005382131324004336,1.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-02-01,1856.0,-0.0064239828693790635,-1.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-02-02,1827.0,-0.015625,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-02-03,1817.0,-0.005473453749315849,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-02-04,1819.0,0.0011007154650521933,0.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-02-07,1823.0,0.0021990104452995762,1.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-02-08,1813.0,-0.005485463521667566,0.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-02-09,1815.0,0.0011031439602868787,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-02-10,1878.0,0.034710743801652955,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-02-11,1871.0,-0.0037273695420659836,0.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-02-14,1862.0,-0.0048102618920363716,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-02-15,1844.5,-0.009398496240601517,-1.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-02-16,1833.0,-0.00623475196530221,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-02-17,1845.0,0.00654664484451728,0.0,0.0,0.0,0.0,1.0,0.0,False,False
2000-02-18,1844.0,-0.0005420054200542257,1.0,0.0,0.0,-0.0,1.0,0.0,True,False
2000-02-21,1821.0,-0.012472885032537961,0.0,0.0,0.0,-0.0,1.0,0.0,False,False
2000-02-22,1833.0,0.006589785831960571,0.0,0.0,0.0,0.0,1.0,0.0,True,False
2000-02-23,1856.0,0.012547735951991212,0.0,0.0,0.0,0.0,1.0,0.0,False,False
