Date,Price,ret,log_ret,atr,volume,volume_mean,vol_ok,rolling_max,rolling_min,higher_low_raw,lower_high_raw,higher_low,lower_high,long_event,short_event,weekday,is_exec_day,signal,position,rv,lev,turnover,ret_pos,costs,pnl,equity
2000-01-03,1888.5,,,,,,False,,,False,False,False,False,False,False,0.0,True,0,0.0,,0.0,0.0,,,0.0,1.0
2000-01-04,1865.0,-0.012443738416732852,-0.012521810074596296,,0.012443738416732852,,False,,,False,False,False,False,False,False,1.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-05,1875.0,0.00536193029490617,0.005347606326595589,,0.00536193029490617,,False,,,False,False,False,False,False,False,2.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-06,1869.0,-0.0031999999999999806,-0.0032051309489480317,,0.0031999999999999806,,False,,,False,False,False,False,False,False,3.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-07,1876.0,0.0037453183520599342,0.003738322110606873,,0.0037453183520599342,,False,,,False,False,False,False,False,False,4.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-10,1859.0,-0.009061833688699394,-0.009103141844725826,,0.009061833688699394,,False,,,False,False,False,False,False,False,0.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-11,1859.0,0.0,0.0,,0.0,,False,,,False,False,False,False,False,False,1.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-12,1882.0,0.012372243141473893,0.012296332423880507,,0.012372243141473893,,False,,,False,False,False,False,False,False,2.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-13,1882.0,0.0,0.0,,0.0,,False,,,False,False,False,False,False,False,3.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-14,1888.0,0.0031880977683316214,0.0031830265601211494,,0.0031880977683316214,,False,,,False,False,False,False,False,False,4.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-17,1897.0,0.004766949152542388,0.004755623229568684,,0.004766949152542388,,False,,,False,False,False,False,False,False,0.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-18,1904.0,0.0036900369003689537,0.003683245416295833,,0.0036900369003689537,,False,,,False,False,False,False,False,False,1.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-19,1934.0,0.015756302521008347,0.015633460661929277,,0.015756302521008347,,False,,,False,False,False,False,False,False,2.0,True,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-20,1923.0,-0.0056876938986556436,-0.005703930424459713,,0.0056876938986556436,,False,,,False,False,False,False,False,False,3.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-21,1918.0,-0.0026001040041602197,-0.002603490145395959,,0.0026001040041602197,,False,,,False,False,False,False,False,False,4.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-24,1891.5,-0.013816475495307623,-0.013912811370300204,,0.013816475495307623,,False,,,False,False,False,False,False,False,0.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-25,1882.0,-0.005022468939994695,-0.0050351239277590665,,0.005022468939994695,,False,,,False,False,False,False,False,False,1.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
2000-01-26,1854.0,-0.014877789585547307,-0.014989574019524277,,0.014877789585547307,,False,,,False,False,False,False,False,False,2.0,True,0,0.0,,0.0,0.0,-0.0,0.0,-0.0,1.0
