dt,price,ret,upper,lower,filters_ok,signal_T,entry_signal,exposure_for_pnl,scale_t
2000-01-03,1888.5,0.0,,,0.0,0.0,0.0,0.0,1.0
2000-01-04,1865.0,-0.012443738416732852,,,0.0,0.0,0.0,0.0,1.0
2000-01-05,1875.0,0.00536193029490617,,,0.0,0.0,0.0,0.0,1.0
2000-01-06,1869.0,-0.0031999999999999806,,,0.0,0.0,0.0,0.0,1.0
2000-01-07,1876.0,0.0037453183520599342,,,0.0,0.0,0.0,0.0,1.0
2000-01-10,1859.0,-0.009061833688699394,1886.6774788666064,1862.7225211333937,0.0,0.0,0.0,0.0,1.0
2000-01-11,1859.0,0.0,1878.3057877106528,1859.2942122893471,0.0,0.0,0.0,0.0,1.0
2000-01-12,1882.0,0.012372243141473893,1878.7283421945947,1856.4716578054051,0.0,0.0,0.0,0.0,1.0
2000-01-13,1882.0,0.0,1882.7149553407949,1855.2850446592051,0.0,0.0,0.0,0.0,1.0
2000-01-14,1888.0,0.0031880977683316214,1887.3778325507656,1855.8221674492343,0.0,0.0,0.0,0.0,1.0
2000-01-17,1897.0,0.004766949152542388,1892.662797217995,1855.337202782005,0.0,0.0,0.0,0.0,1.0
2000-01-18,1904.0,0.0036900369003689537,1900.4451585294473,1862.7548414705525,0.0,0.0,0.0,0.0,1.0
2000-01-19,1934.0,0.015756302521008347,1903.5938446966247,1877.606155303375,0.0,0.0,0.0,0.0,1.0
2000-01-20,1923.0,-0.0056876938986556436,1928.1992646959436,1873.8007353040564,0.0,0.0,0.0,0.0,1.0
2000-01-21,1918.0,-0.0026001040041602197,1934.5743965445488,1883.8256034554513,0.0,0.0,0.0,0.0,1.0
2000-01-24,1891.5,-0.013816475495307623,1935.086176103012,1895.3138238969882,0.0,0.0,0.0,0.0,1.0
2000-01-25,1882.0,-0.005022468939994695,1936.3809335531525,1891.8190664468473,0.0,0.0,0.0,0.0,1.0
2000-01-26,1854.0,-0.014877789585547307,1939.2069483342484,1880.1930516657517,0.0,0.0,0.0,0.0,1.0
2000-01-27,1864.0,0.005393743257820827,1931.4499668874028,1855.9500331125973,0.0,0.0,0.0,0.0,1.0
2000-01-28,1858.0,-0.0032188841201716833,1915.4020894870755,1848.3979105129247,0.0,0.0,0.0,0.0,1.0
2000-01-31,1868.0,0.005382131324004336,1891.556176947929,1848.243823052071,0.0,0.0,0.0,0.0,1.0
