dt,ret,raw_pnl,entry_cost,ret_unscaled,scale_t,ret_scaled
2000-01-03,0.0,0.0,-0.0,0.0,1.0,0.0
2000-01-04,-0.012443738416732852,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-05,0.00536193029490617,0.0,-0.0,0.0,1.0,0.0
2000-01-06,-0.0031999999999999806,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-07,0.0037453183520599342,0.0,-0.0,0.0,1.0,0.0
2000-01-10,-0.009061833688699394,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-11,0.0,0.0,-0.0,0.0,1.0,0.0
2000-01-12,0.012372243141473893,0.0,-0.0,0.0,1.0,0.0
2000-01-13,0.0,0.0,-0.0,0.0,1.0,0.0
2000-01-14,0.0031880977683316214,0.0,-0.0,0.0,1.0,0.0
2000-01-17,0.004766949152542388,0.0,-0.0,0.0,1.0,0.0
2000-01-18,0.0036900369003689537,0.0,-0.0,0.0,1.0,0.0
2000-01-19,0.015756302521008347,0.0,-0.0,0.0,1.0,0.0
2000-01-20,-0.0056876938986556436,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-21,-0.0026001040041602197,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-24,-0.013816475495307623,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-25,-0.005022468939994695,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-26,-0.014877789585547307,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-27,0.005393743257820827,0.0,-0.0,0.0,1.0,0.0
2000-01-28,-0.0032188841201716833,-0.0,-0.0,-0.0,1.0,-0.0
2000-01-31,0.005382131324004336,0.0,-0.0,0.0,1.0,0.0
2000-02-01,-0.0064239828693790635,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-02,-0.015625,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-03,-0.005473453749315849,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-04,0.0011007154650521933,0.0,-0.0,0.0,1.0,0.0
2000-02-07,0.0021990104452995762,0.0,-0.0,0.0,1.0,0.0
2000-02-08,-0.005485463521667566,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-09,0.0011031439602868787,0.0,-0.0,0.0,1.0,0.0
2000-02-10,0.034710743801652955,0.0,-0.0,0.0,1.0,0.0
2000-02-11,-0.0037273695420659836,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-14,-0.0048102618920363716,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-15,-0.009398496240601517,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-16,-0.00623475196530221,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-17,0.00654664484451728,0.0,-0.0,0.0,1.0,0.0
2000-02-18,-0.0005420054200542257,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-21,-0.012472885032537961,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-22,0.006589785831960571,0.0,-0.0,0.0,1.0,0.0
2000-02-23,0.012547735951991212,0.0,-0.0,0.0,1.0,0.0
2000-02-24,0.006465517241379226,0.0,-0.0,0.0,1.0,0.0
2000-02-25,-0.0224839400428265,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-28,-0.04435925520262873,-0.0,-0.0,-0.0,1.0,-0.0
2000-02-29,-0.006876790830945612,-0.0,-0.0,-0.0,1.0,-0.0
2000-03-01,0.023081361800346256,0.0,-0.0,0.0,1.0,0.0
2000-03-02,-0.011844331641285955,-0.0,-0.0,-0.0,1.0,-0.0
2000-03-03,0.005136986301369939,0.0,-0.0,0.0,1.0,0.0
2000-03-06,0.003975014196479165,0.0,-0.0,0.0,1.0,0.0
2000-03-07,-0.01074660633484159,-0.0,-0.0,-0.0,1.0,-0.0
2000-03-08,-0.012006861063464824,-0.0,-0.0,-0.0,1.0,-0.0
2000-03-09,0.01504629629629628,0.0,-0.0,0.0,1.0,0.0
2000-03-10,0.0011402508551880963,0.0,-0.0,0.0,1.0,0.0
2000-03-13,-0.009965831435079675,-0.0,-0.0,-0.0,1.0,-0.0
2000-03-14,0.018694276675294885,0.0,-0.00030000000000000003,-0.00030000000000000003,1.0,-0.00030000000000000003
2000-03-15,0.0028232636928289256,-0.0028232636928289256,-0.00030000000000000003,-0.0031232636928289256,1.0,-0.0031232636928289256
2000-03-16,0.008445945945946054,-0.016891891891892108,-0.00030000000000000003,-0.01719189189189211,1.0,-0.01719189189189211
2000-03-17,0.006141820212171911,-0.012283640424343822,-0.00030000000000000003,-0.012583640424343822,1.0,-0.012583640424343822
2000-03-20,-0.010543840177580477,0.021087680355160954,-0.0,0.021087680355160954,1.0,0.021087680355160954
2000-03-21,0.012338754907459393,-0.012338754907459393,-0.00030000000000000003,-0.012638754907459393,1.0,-0.012638754907459393
2000-03-22,-0.006094182825484795,0.006094182825484795,-0.0,0.006094182825484795,1.0,0.006094182825484795
2000-03-23,-0.0005574136008918984,0.0005574136008918984,-0.0,0.0005574136008918984,1.0,0.0005574136008918984
2000-03-24,-0.007250418293363037,-0.0,-0.00030000000000000003,-0.00030000000000000003,1.0,-0.00030000000000000003
2000-03-27,-0.009550561797752821,-0.009550561797752821,-0.00030000000000000003,-0.009850561797752821,1.0,-0.009850561797752821
2000-03-28,0.0028360748723765816,0.005672149744753163,-0.0,0.005672149744753163,1.0,0.005672149744753163
2000-03-29,0.0033936651583710287,0.0033936651583710287,-0.0,0.0033936651583710287,1.0,0.0033936651583710287
2000-03-30,0.0033821871476888976,0.0,-0.0,0.0,1.4195584264541126,0.0
2000-03-31,-0.008988764044943864,-0.0,-0.0,-0.0,1.4195584264541126,-0.0
2000-04-03,-0.005668934240362855,-0.0,-0.00030000000000000003,-0.00030000000000000003,1.4195584264541126,-0.0004258675279362338
2000-04-04,0.0,0.0,-0.0,0.0,1.419612280079525,0.0
2000-04-05,-0.003990877993158448,-0.003990877993158448,-0.0,-0.003990877993158448,1.419612280079525,-0.005665499407386864
