dt,z,signal_raw,signal_exec,position_vt
2014-05-20,-0.5914569593671211,0.0,0.0,0.0
2014-05-21,-0.8062716775441363,-1.0,0.0,0.0
2014-05-22,-0.6192087233091753,-1.0,0.0,0.0
2014-05-23,-0.39562763934179607,0.0,0.0,0.0
2014-05-26,-0.39023797454893533,0.0,-1.0,-0.8696418545206744
2014-05-27,-0.36119497992888033,0.0,-1.0,-0.8696418545206744
2014-05-28,-0.3166492922398178,0.0,0.0,0.0
2014-05-29,-0.5614559706135792,0.0,0.0,0.0
2014-05-30,-0.7187953767585349,-1.0,0.0,0.0
2014-06-02,-0.35418102377207156,0.0,0.0,0.0
2014-06-03,-0.6170169153893977,-1.0,0.0,0.0
2014-06-04,-0.957366627598233,-1.0,-1.0,-0.7723573290500012
2014-06-05,-0.97283611996734,-1.0,-1.0,-0.7723573290500012
2014-06-06,-1.3518679467818704,-1.0,-1.0,-0.7723573290500012
2014-06-09,-1.4235130924659947,-1.0,-1.0,-0.7632801097681509
2014-06-10,-1.3963036736898164,-1.0,-1.0,-0.7632801097681509
2014-06-11,-1.3339743211509656,-1.0,-1.0,-0.7880653853467567
2014-06-12,-1.6217534688788477,-1.0,-1.0,-0.7880653853467567
2014-06-13,-1.4696915975382718,-1.0,-1.0,-0.7880653853467567
2014-06-16,-1.3158430423914853,-1.0,-1.0,-0.772648722680383
2014-06-17,-1.2554489924174241,-1.0,-1.0,-0.772648722680383
2014-06-18,-1.2265656867837955,-1.0,-1.0,-0.7996580400643858
2014-06-19,-1.1585066898321859,-1.0,-1.0,-0.7996580400643858
2014-06-20,-0.7642409757080909,-1.0,-1.0,-0.7996580400643858
2014-06-23,-0.49917764397243913,0.0,-1.0,-0.8624400133774482
2014-06-24,-0.5012669819189136,0.0,-1.0,-0.8624400133774482
2014-06-25,-0.38190653791972845,0.0,0.0,0.0
2014-06-26,-0.22543946582138644,0.0,0.0,0.0
2014-06-27,-0.2678127170457773,0.0,0.0,0.0
2014-06-30,0.012265714456129376,0.0,0.0,0.0
2014-07-01,0.031136713709485515,0.0,0.0,0.0
2014-07-02,0.4428298008593742,0.0,0.0,0.0
2014-07-03,0.6350190191988426,1.0,0.0,0.0
2014-07-04,0.5333894237361057,0.0,0.0,0.0
2014-07-07,0.4321012418848536,0.0,0.0,0.0
2014-07-08,0.4482652871706444,0.0,0.0,0.0
2014-07-09,0.4270190412748571,0.0,0.0,0.0
2014-07-10,0.569330142154434,0.0,0.0,0.0
2014-07-11,0.5440782529955935,0.0,0.0,0.0
2014-07-14,0.41142106196294814,0.0,0.0,0.0
2014-07-15,0.43669490946120315,0.0,0.0,0.0
2014-07-16,0.22953570223742403,0.0,0.0,0.0
2014-07-17,0.18325847620628788,0.0,0.0,0.0
2014-07-18,-0.1469550984679084,0.0,0.0,0.0
2014-07-21,0.01245665481877398,0.0,0.0,0.0
2014-07-22,0.07160322985577695,0.0,0.0,0.0
2014-07-23,0.09060597507216038,0.0,0.0,0.0
2014-07-24,0.5779684000506665,0.0,0.0,0.0
2014-07-25,0.4018173145105623,0.0,0.0,0.0
2014-07-28,0.3833929824474618,0.0,0.0,0.0
2014-07-29,0.23709499770241502,0.0,0.0,0.0
2014-07-30,0.4092322967230837,0.0,0.0,0.0
2014-07-31,0.37292446913914074,0.0,0.0,0.0
2014-08-01,0.21679033324660238,0.0,0.0,0.0
2014-08-04,0.4407800785473717,0.0,0.0,0.0
2014-08-05,0.1480800906559479,0.0,0.0,0.0
2014-08-06,-0.1910033181856943,0.0,0.0,0.0
2014-08-07,-0.06803936295854347,0.0,0.0,0.0
2014-08-08,-0.08057811214328314,0.0,0.0,0.0
2014-08-11,-0.07565181049111061,0.0,0.0,0.0
2014-08-12,-0.19326152903580884,0.0,0.0,0.0
2014-08-13,-0.5196619955672439,0.0,0.0,0.0
2014-08-14,-0.7657318299355054,-1.0,0.0,0.0
2014-08-15,-0.5700273758571107,0.0,0.0,0.0
2014-08-18,-0.4189146285589279,0.0,0.0,0.0
2014-08-19,-0.5726946959359158,0.0,0.0,0.0
2014-08-20,0.025986470463691676,0.0,0.0,0.0
2014-08-21,0.05049127199360912,0.0,0.0,0.0
2014-08-22,0.30311761318736585,0.0,0.0,0.0
2014-08-25,0.3036967783364273,0.0,0.0,0.0
2014-08-26,0.21498796315484145,0.0,0.0,0.0
2014-08-27,0.11860827964497245,0.0,0.0,0.0
2014-08-28,-0.27854349195971145,0.0,0.0,0.0
2014-08-29,-0.07428860366178214,0.0,0.0,0.0
2014-09-01,-0.24011082540022805,0.0,0.0,0.0
2014-09-02,-0.12974348364998686,0.0,0.0,0.0
2014-09-03,-0.39617498172149185,0.0,0.0,0.0
2014-09-04,-0.28402801605994493,0.0,0.0,0.0
2014-09-05,-0.09170686151374381,0.0,0.0,0.0
2014-09-08,-0.02340288384200453,0.0,0.0,0.0
2014-09-09,-0.6539806149544979,-1.0,0.0,0.0
2014-09-10,-0.5199425966634934,0.0,-1.0,-0.73338017041426
