date,price,signal_raw,pos_dir,lev,position,ret,strat_ret,equity
2000-01-03,1888.5,0.0,0.0,0.0,0.0,,0.0,1.0
2000-01-04,1865.0,0.0,0.0,0.0,0.0,-0.012521810074596296,-0.0,1.0
2000-01-05,1875.0,0.0,0.0,0.0,0.0,0.005347606326595589,0.0,1.0
2000-01-06,1869.0,0.0,0.0,0.0,0.0,-0.0032051309489480317,-0.0,1.0
2000-01-07,1876.0,0.0,0.0,0.0,0.0,0.003738322110606873,0.0,1.0
2000-01-10,1859.0,0.0,0.0,0.0,0.0,-0.009103141844725826,-0.0,1.0
2000-01-11,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-12,1882.0,0.0,0.0,0.0,0.0,0.012296332423880507,0.0,1.0
2000-01-13,1882.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-14,1888.0,0.0,0.0,0.0,0.0,0.0031830265601211494,0.0,1.0
2000-01-17,1897.0,0.0,0.0,0.0,0.0,0.004755623229568684,0.0,1.0
2000-01-18,1904.0,0.0,0.0,0.0,0.0,0.003683245416295833,0.0,1.0
2000-01-19,1934.0,0.0,0.0,0.0,0.0,0.015633460661929277,0.0,1.0
2000-01-20,1923.0,0.0,0.0,0.0,0.0,-0.005703930424459713,-0.0,1.0
2000-01-21,1918.0,0.0,0.0,0.0,0.0,-0.002603490145395959,-0.0,1.0
2000-01-24,1891.5,0.0,0.0,0.0,0.0,-0.013912811370300204,-0.0,1.0
2000-01-25,1882.0,0.0,0.0,0.0,0.0,-0.0050351239277590665,-0.0,1.0
2000-01-26,1854.0,0.0,0.0,0.0,0.0,-0.014989574019524277,-0.0,1.0
2000-01-27,1864.0,0.0,0.0,0.0,0.0,0.005379249119735974,0.0,1.0
2000-01-28,1858.0,0.0,0.0,0.0,0.0,-0.003224075871752774,-0.0,1.0
2000-01-31,1868.0,0.0,0.0,0.0,0.0,0.005367699415004701,0.0,1.0
2000-02-01,1856.0,0.0,0.0,0.0,0.0,-0.006444705442642196,-0.0,1.0
2000-02-02,1827.0,0.0,0.0,0.0,0.0,-0.01574835696813981,-0.0,1.0
2000-02-03,1817.0,0.0,0.0,0.0,0.0,-0.0054884879818350996,-0.0,1.0
2000-02-04,1819.0,0.0,0.0,0.0,0.0,0.0011001101219507703,0.0,1.0
2000-02-07,1823.0,0.0,0.0,0.0,0.0,0.00219659616054102,0.0,1.0
2000-02-08,1813.0,0.0,0.0,0.0,0.0,-0.005500563923812152,-0.0,1.0
2000-02-09,1815.0,0.0,0.0,0.0,0.0,0.001102535944100147,0.0,1.0
2000-02-10,1878.0,0.0,0.0,0.6179433790976369,0.0,0.03412191306925738,0.0,1.0
2000-02-11,1871.0,0.0,0.0,0.6179433790976369,0.0,-0.003734333494119113,-0.0,1.0
2000-02-14,1862.0,0.0,0.0,0.6179433790976369,0.0,-0.00482186843707666,-0.0,1.0
2000-02-15,1844.5,0.0,0.0,0.6179433790976369,0.0,-0.009442940800282074,-0.0,1.0
2000-02-16,1833.0,0.0,0.0,0.6179433790976369,0.0,-0.0062542691970257636,-0.0,1.0
2000-02-17,1845.0,0.0,0.0,0.6179433790976369,0.0,0.006525308634922844,0.0,1.0
2000-02-18,1844.0,0.0,0.0,0.6179433790976369,0.0,-0.0005421523580881882,-0.0,1.0
2000-02-21,1821.0,0.0,0.0,0.6179433790976369,0.0,-0.012551324388931029,-0.0,1.0
2000-02-22,1833.0,0.0,0.0,0.6179433790976369,0.0,0.006568168112096373,0.0,1.0
2000-02-23,1856.0,0.0,0.0,0.6179433790976369,0.0,0.012469665506441352,0.0,1.0
2000-02-24,1868.0,0.0,0.0,0.6179433790976369,0.0,0.006444705442642196,0.0,1.0
2000-02-25,1826.0,0.0,0.0,0.6179433790976369,0.0,-0.022740557633874836,-0.0,1.0
2000-02-28,1745.0,0.0,0.0,0.46872181272187086,0.0,-0.045373226518385934,-0.0,1.0
2000-02-29,1733.0,0.0,0.0,0.46872181272187086,0.0,-0.006900544920921625,-0.0,1.0
2000-03-01,1773.0,0.0,0.0,0.46872181272187086,0.0,0.02281901635860173,0.0,1.0
2000-03-02,1752.0,0.0,0.0,0.46872181272187086,0.0,-0.011915034577870465,-0.0,1.0
2000-03-03,1761.0,0.0,0.0,0.46872181272187086,0.0,0.005123836999868736,0.0,1.0
2000-03-06,1768.0,0.0,0.0,0.46872181272187086,0.0,0.0039671347013827685,0.0,1.0
2000-03-07,1749.0,0.0,0.0,0.46872181272187086,0.0,-0.010804768178986457,-0.0,1.0
