date,equity_all,equity_IS,equity_OOS
2000-01-03,1.0,1.0,
2000-01-04,1.0,1.0,
2000-01-05,1.0,1.0,
2000-01-06,1.0,1.0,
2000-01-07,1.0,1.0,
2000-01-10,1.0,1.0,
2000-01-11,1.0,1.0,
2000-01-12,1.0,1.0,
2000-01-13,1.0,1.0,
2000-01-14,1.0,1.0,
2000-01-17,1.0,1.0,
2000-01-18,1.0,1.0,
2000-01-19,1.0,1.0,
2000-01-20,1.0,1.0,
2000-01-21,1.0,1.0,
2000-01-24,1.0,1.0,
2000-01-25,1.0,1.0,
2000-01-26,1.0,1.0,
2000-01-27,1.0,1.0,
2000-01-28,1.0,1.0,
2000-01-31,1.0,1.0,
2000-02-01,1.0,1.0,
2000-02-02,1.0,1.0,
2000-02-03,1.0,1.0,
2000-02-04,1.0,1.0,
2000-02-07,1.0,1.0,
2000-02-08,1.0,1.0,
2000-02-09,1.0,1.0,
2000-02-10,1.0,1.0,
2000-02-11,1.0,1.0,
2000-02-14,1.0,1.0,
2000-02-15,1.0,1.0,
2000-02-16,1.0,1.0,
2000-02-17,1.0,1.0,
2000-02-18,1.0,1.0,
2000-02-21,1.0,1.0,
2000-02-22,1.0,1.0,
2000-02-23,1.0,1.0,
2000-02-24,1.0,1.0,
2000-02-25,1.0,1.0,
2000-02-28,1.0,1.0,
2000-02-29,1.0,1.0,
2000-03-01,1.0,1.0,
2000-03-02,1.0,1.0,
2000-03-03,1.0,1.0,
2000-03-06,1.0,1.0,
2000-03-07,1.0,1.0,
2000-03-08,1.0,1.0,
2000-03-09,1.0,1.0,
2000-03-10,1.0,1.0,
2000-03-13,1.0,1.0,
2000-03-14,1.0,1.0,
2000-03-15,1.0,1.0,
2000-03-16,1.0,1.0,
2000-03-17,1.0,1.0,
2000-03-20,1.0,1.0,
2000-03-21,1.0,1.0,
2000-03-22,1.0,1.0,
2000-03-23,1.0,1.0,
2000-03-24,1.0,1.0,
2000-03-27,1.0,1.0,
2000-03-28,1.0,1.0,
2000-03-29,1.0,1.0,
2000-03-30,1.0,1.0,
2000-03-31,1.0,1.0,
2000-04-03,1.0,1.0,
2000-04-04,1.0,1.0,
2000-04-05,1.0,1.0,
2000-04-06,1.0,1.0,
2000-04-07,0.9999157255673593,0.9999157255673593,
2000-04-10,0.9914801505086857,0.9914801505086857,
2000-04-11,0.9869407773858919,0.9869407773858919,
2000-04-12,0.9884671619533593,0.9884671619533593,
2000-04-13,0.9884671619533593,0.9884671619533593,
2000-04-14,0.9883838594441017,0.9883838594441017,
2000-04-17,0.9937329990356072,0.9937329990356072,
2000-04-18,0.9833595717598733,0.9833595717598733,
2000-04-19,0.9754584494110593,0.9754584494110593,
2000-04-20,0.9754584494110593,0.9754584494110593,
2000-04-21,0.9753762432036707,0.9753762432036707,
2000-04-24,0.9753762432036707,0.9753762432036707,
2000-04-25,0.9670779628435224,0.9670779628435224,
2000-04-26,0.9638648520512046,0.9638648520512046,
2000-04-27,0.9638648520512046,0.9638648520512046,
2000-04-28,0.9638648520512046,0.9638648520512046,
2000-05-01,0.9638648520512046,0.9638648520512046,
2000-05-02,0.9638648520512046,0.9638648520512046,
2000-05-03,0.9638648520512046,0.9638648520512046,
2000-05-04,0.9638648520512046,0.9638648520512046,
2000-05-05,0.9638648520512046,0.9638648520512046,
2000-05-08,0.9638648520512046,0.9638648520512046,
2000-05-09,0.9638648520512046,0.9638648520512046,
2000-05-10,0.9638648520512046,0.9638648520512046,
2000-05-11,0.9638648520512046,0.9638648520512046,
2000-05-12,0.9637919909278237,0.9637919909278237,
2000-05-15,0.9637919909278237,0.9637919909278237,
2000-05-16,0.9690647842642592,0.9690647842642592,
2000-05-17,0.9643217201920125,0.9643217201920125,
2000-05-18,0.9643217201920125,0.9643217201920125,
2000-05-19,0.9642364217562329,0.9642364217562329,
2000-05-22,0.9623649797868163,0.9623649797868163,
2000-05-23,0.9617410079181311,0.9617410079181311,
2000-05-24,0.9647669406432563,0.9647669406432563,
2000-05-25,0.9647669406432563,0.9647669406432563,
2000-05-26,0.9647669406432563,0.9647669406432563,
2000-05-29,0.9647669406432563,0.9647669406432563,
2000-05-30,0.9647669406432563,0.9647669406432563,
2000-05-31,0.9647669406432563,0.9647669406432563,
2000-06-01,0.9647669406432563,0.9647669406432563,
2000-06-02,0.9647669406432563,0.9647669406432563,
2000-06-05,0.9647669406432563,0.9647669406432563,
2000-06-06,0.9647669406432563,0.9647669406432563,
2000-06-07,0.9647669406432563,0.9647669406432563,
2000-06-08,0.9647669406432563,0.9647669406432563,
2000-06-09,0.9647669406432563,0.9647669406432563,
2000-06-12,0.9647669406432563,0.9647669406432563,
2000-06-13,0.9647669406432563,0.9647669406432563,
2000-06-14,0.9647669406432563,0.9647669406432563,
2000-06-15,0.9647669406432563,0.9647669406432563,
2000-06-16,0.9647669406432563,0.9647669406432563,
2000-06-19,0.9647669406432563,0.9647669406432563,
2000-06-20,0.9647669406432563,0.9647669406432563,
2000-06-21,0.9647669406432563,0.9647669406432563,
2000-06-22,0.9647669406432563,0.9647669406432563,
2000-06-23,0.9647669406432563,0.9647669406432563,
2000-06-26,0.9647669406432563,0.9647669406432563,
2000-06-27,0.9647669406432563,0.9647669406432563,
2000-06-28,0.9647669406432563,0.9647669406432563,
2000-06-29,0.9647669406432563,0.9647669406432563,
2000-06-30,0.9647669406432563,0.9647669406432563,
2000-07-03,0.9647669406432563,0.9647669406432563,
2000-07-04,0.9647669406432563,0.9647669406432563,
2000-07-05,0.9647669406432563,0.9647669406432563,
2000-07-06,0.9647669406432563,0.9647669406432563,
2000-07-07,0.9647669406432563,0.9647669406432563,
2000-07-10,0.9647669406432563,0.9647669406432563,
2000-07-11,0.9647669406432563,0.9647669406432563,
2000-07-12,0.9647669406432563,0.9647669406432563,
2000-07-13,0.9647669406432563,0.9647669406432563,
2000-07-14,0.9647669406432563,0.9647669406432563,
2000-07-17,0.9647669406432563,0.9647669406432563,
2000-07-18,0.9646685349198934,0.9646685349198934,
2000-07-19,0.9639535798189224,0.9639535798189224,
2000-07-20,0.9650249258594804,0.9650249258594804,
2000-07-21,0.9759079220880903,0.9759079220880903,
2000-07-24,0.9759079220880903,0.9759079220880903,
2000-07-25,0.9758083799904468,0.9758083799904468,
2000-07-26,0.9740249608869052,0.9740249608869052,
2000-07-27,0.9783276648528324,0.9783276648528324,
2000-07-28,0.977825359827212,0.977825359827212,
2000-07-31,0.977825359827212,0.977825359827212,
2000-08-01,0.9777149480376055,0.9777149480376055,
2000-08-02,0.9784820906154944,0.9784820906154944,
2000-08-03,0.9719696295385877,0.9719696295385877,
2000-08-04,0.9714147363402535,0.9714147363402535,
2000-08-07,0.9714147363402535,0.9714147363402535,
2000-08-08,0.9712736976634874,0.9712736976634874,
2000-08-09,0.9777762919788927,0.9777762919788927,
2000-08-10,0.9742570807347157,0.9742570807347157,
2000-08-11,0.9695879699900661,0.9695879699900661,
2000-08-14,0.9695879699900661,0.9695879699900661,
2000-08-15,0.9694471965395717,0.9694471965395717,
2000-08-16,0.9677018861170588,0.9677018861170588,
2000-08-17,0.9706864794436897,0.9706864794436897,
2000-08-18,0.9710435867711187,0.9710435867711187,
2000-08-21,0.9710435867711187,0.9710435867711187,
2000-08-22,0.9710435867711187,0.9710435867711187,
2000-08-23,0.9710435867711187,0.9710435867711187,
2000-08-24,0.9710435867711187,0.9710435867711187,
2000-08-25,0.9710435867711187,0.9710435867711187,
2000-08-28,0.9710435867711187,0.9710435867711187,
2000-08-29,0.9708971955066438,0.9708971955066438,
2000-08-30,0.9744417612278953,0.9744417612278953,
2000-08-31,0.9767517820582751,0.9767517820582751,
2000-09-01,0.9806254529150813,0.9806254529150813,
2000-09-04,0.9806254529150813,0.9806254529150813,
2000-09-05,0.980457901668289,0.980457901668289,
2000-09-06,0.9787463036963311,0.9787463036963311,
2000-09-07,0.982728994692974,0.982728994692974,
2000-09-08,0.9939084129162838,0.9939084129162838,
2000-09-11,0.9939084129162838,0.9939084129162838,
2000-09-12,0.993738592121518,0.993738592121518,
2000-09-13,1.002740191787829,1.002740191787829,
2000-09-14,1.0038705221241855,1.0038705221241855,
2000-09-15,0.9991658465887133,0.9991658465887133,
2000-09-18,0.9991658465887133,0.9991658465887133,
2000-09-19,0.9989951275003492,0.9989951275003492,
2000-09-20,0.986373514016024,0.986373514016024,
