date,regime,sizing,sizing_smooth,vix,copper_adx
2010-12-13,NORMAL,1.0,0.9477420180736931,17.55,49.5272790833432
2010-12-14,NORMAL,1.0,0.9572434693330216,17.61,53.12647577790116
2010-12-15,NORMAL,1.0,0.9650173839997449,17.94,53.47274357767633
2010-12-16,NORMAL,1.0,0.9713778596361549,17.39,50.28385424764986
2010-12-17,NORMAL,1.0,0.976581885156854,16.11,47.52015016162692
2010-12-20,NORMAL,1.0,0.9808397242192441,16.41,47.18985676245829
2010-12-21,NORMAL,1.0,0.984323410724836,16.49,48.669757739141716
2010-12-22,NORMAL,1.0,0.9871736996839566,15.45,49.95233858560069
2010-12-23,NORMAL,1.0,0.9895057542868735,16.47,49.18311173780922
2010-12-24,NORMAL,1.0,0.9914137989619873,16.47,48.51644846972327
2010-12-27,NORMAL,1.0,0.9929749264234442,17.67,47.938673637382124
2010-12-28,NORMAL,1.0,0.9942522125282724,17.52,47.43793544935313
2010-12-29,NORMAL,1.0,0.9952972647958591,17.28,48.0885504170479
2010-12-30,NORMAL,1.0,0.9961523075602483,17.52,50.10382157318266
2010-12-31,NORMAL,1.0,0.9968518880038395,17.75,52.95671051503502
2011-01-03,NORMAL,1.0,0.9974242720031414,17.61,55.4292142646404
2011-01-04,NORMAL,1.0,0.9978925861843884,17.38,56.33518881120885
2011-01-05,NORMAL,1.0,0.9982757523326813,17.02,55.26877668665806
2011-01-06,NORMAL,1.0,0.9985892519085573,17.4,50.427816808111444
2011-01-07,NORMAL,1.0,0.9988457515615468,17.14,43.78095197531636
2011-01-10,MILD_CHOP,0.75,0.9536010694594472,17.54,40.79500441609049
2011-01-11,MILD_CHOP,0.75,0.9165826931940931,16.89,35.789050940142104
2011-01-12,MILD_CHOP,0.75,0.8862949307951671,16.24,35.415295863907026
2011-01-13,NORMAL,1.0,0.9069685797415004,16.39,35.09137479783662
2011-01-14,NORMAL,1.0,0.9238833834248639,15.46,34.81064320724227
2011-01-17,NORMAL,1.0,0.9377227682567066,15.46,34.56734249539384
2011-01-18,NORMAL,1.0,0.9490459013009418,15.87,35.53089778895952
2011-01-19,NORMAL,1.0,0.9583102828825887,17.31,33.66296116479811
2011-01-20,MILD_CHOP,0.75,0.9204356859948453,17.99,32.74639861641138
2011-01-21,HIGH_CHOP,0.5,0.8439928339957825,18.47,31.952044407809552
2011-01-24,MILD_CHOP,0.75,0.8269032278147311,17.65,28.309934070233997
2011-01-25,MILD_CHOP,0.75,0.8129208227575072,17.59,29.023664210582822
2011-01-26,NORMAL,1.0,0.8469352186197785,16.64,29.64223033221847
2011-01-27,NORMAL,1.0,0.8747651788707278,16.15,26.781248781609204
2011-01-28,HIGH_CHOP,0.5,0.8066260554396864,20.04,24.281517414120042
2011-01-31,HIGH_CHOP,0.5,0.7508758635415616,19.53,25.72890652397308
2011-02-01,HIGH_CHOP,0.5,0.7052620701703686,17.63,29.061614461895694
2011-02-02,HIGH_CHOP,0.5,0.6679416937757561,17.3,31.94996134142863
2011-02-03,HIGH_CHOP,0.5,0.6374068403619823,16.69,33.98226820766702
2011-02-04,MILD_CHOP,0.75,0.6578783239325309,15.93,36.86415875098672
2011-02-07,MILD_CHOP,0.75,0.6746277195811615,16.28,39.36179722186379
2011-02-08,MILD_CHOP,0.75,0.6883317705664048,15.81,41.643524676384736
2011-02-09,MILD_CHOP,0.75,0.6995441759179676,15.87,39.1355062252266
2011-02-10,MILD_CHOP,0.75,0.7087179621147007,16.09,36.96189023422288
2011-02-11,MILD_CHOP,0.75,0.7162237871847551,15.69,35.56888941587168
2011-02-14,MILD_CHOP,0.75,0.7223649167875269,15.95,37.720275215292915
2011-02-15,MILD_CHOP,0.75,0.7273894773716129,16.37,39.58480957479132
2011-02-16,HIGH_CHOP,0.5,0.6860459360313196,16.72,35.550923915249044
2011-02-17,HIGH_CHOP,0.5,0.6522194022074432,16.59,31.094095866553015
2011-02-18,HIGH_CHOP,0.5,0.6245431472606353,16.43,27.697100196112864
2011-02-21,MILD_CHOP,0.75,0.647353484122338,16.43,24.753037281731398
2011-02-22,HIGH_CHOP,0.5,0.6205619415546402,20.8,26.022560412098425
2011-02-23,HIGH_CHOP,0.5,0.5986415885447056,22.13,29.112280280904628
2011-02-24,HIGH_CHOP,0.5,0.58070675426385,21.32,31.790037500536673
2011-02-25,HIGH_CHOP,0.5,0.56603279894315,19.22,27.650162809973025
2011-02-28,HIGH_CHOP,0.5,0.5540268354989408,18.35,26.148286413649956
2011-03-01,HIGH_CHOP,0.5,0.5442037744991334,21.01,24.846660203503298
2011-03-02,HIGH_CHOP,0.5,0.5361667245902,20.7,23.811384919474822
2011-03-03,HIGH_CHOP,0.5,0.5295909564828909,18.6,23.42074997705858
2011-03-04,HIGH_CHOP,0.5,0.5242107825769107,19.06,23.08219969363117
2011-03-07,HIGH_CHOP,0.5,0.5198088221083814,20.66,25.141201826101195
2011-03-08,HIGH_CHOP,0.5,0.5162072180886756,19.82,26.925670340908546
2011-03-09,HIGH_CHOP,0.5,0.5132604511634619,20.22,30.686362621725014
2011-03-10,HIGH_CHOP,0.5,0.5108494600428324,21.88,34.57170472472747
2011-03-11,HIGH_CHOP,0.5,0.5088768309441356,20.08,37.9466901132861
2011-03-14,HIGH_CHOP,0.5,0.5072628616815654,21.13,40.87167745003693
2011-03-15,MILD_CHOP,0.75,0.5513968868303717,24.32,44.05362980951358
2011-03-16,NORMAL,1.0,0.6329610892248496,29.4,44.18705928545008
2011-03-17,NORMAL,1.0,0.6996954366385133,26.37,39.545908239765915
2011-03-18,HIGH_CHOP,0.5,0.6633871754315108,24.44,35.5235773335063
2011-03-21,HIGH_CHOP,0.5,0.6336804162621452,20.61,31.805955650547894
2011-03-22,HIGH_CHOP,0.5,0.6093748860326642,20.21,28.584016858650607
2011-03-23,HIGH_CHOP,0.5,0.5894885431176343,19.17,28.114585619391114
2011-03-24,MILD_CHOP,0.75,0.6186724443689735,18.0,27.70774521203289
2011-03-25,MILD_CHOP,0.75,0.6425501817564329,17.91,26.54291607103328
2011-03-28,HIGH_CHOP,0.5,0.6166319668916269,19.44,23.954152684874423
2011-03-29,MILD_CHOP,0.75,0.6408807001840583,18.16,21.710557750203414
2011-03-30,MILD_CHOP,0.75,0.6607205728778658,17.71,22.62262109266284
2011-03-31,MILD_CHOP,0.75,0.676953195990981,17.74,23.413075989461007
2011-04-01,MILD_CHOP,0.75,0.6902344330835298,17.4,24.481067697219125
2011-04-04,MILD_CHOP,0.75,0.7011008997956153,17.5,25.97484644293482
2011-04-05,NORMAL,1.0,0.755446190741867,17.25,26.0590891151721
2011-04-06,MILD_CHOP,0.75,0.7544559742433457,16.9,25.04969402271871
2011-04-07,MILD_CHOP,0.75,0.7536457971081918,17.11,25.376018710242978
2011-04-08,HIGH_CHOP,0.5,0.7075283794521569,17.87,28.431593753296905
2011-04-11,MILD_CHOP,0.75,0.7152504922790374,16.59,31.079758790610306
2011-04-12,MILD_CHOP,0.75,0.7215685845919396,17.09,27.44441287206172
2011-04-13,MILD_CHOP,0.75,0.7267379328479505,16.92,25.318412685490607
2011-04-14,MILD_CHOP,0.75,0.7309673996028686,16.27,24.997206034425176
2011-04-15,NORMAL,1.0,0.7798824178568924,15.32,24.79471572060662
2011-04-18,MILD_CHOP,0.75,0.774449250973821,16.96,27.013862405932954
2011-04-19,NORMAL,1.0,0.8154584780694898,15.83,28.937122866549114
2011-04-20,MILD_CHOP,0.75,0.8035569366023098,15.07,25.100004106147228
2011-04-21,NORMAL,1.0,0.8392738572200715,14.69,23.773945571356293
2011-04-22,NORMAL,1.0,0.8684967922709677,14.69,22.62469484120415
2011-04-25,MILD_CHOP,0.75,0.8469519209489734,15.77,21.62867754173896
2011-04-26,NORMAL,1.0,0.8747788444127964,15.62,20.22492311805523
2011-04-27,MILD_CHOP,0.75,0.852091781792288,15.35,22.198867848222214
2011-04-28,NORMAL,1.0,0.8789841851027811,14.62,23.9216143377498
2011-04-29,NORMAL,1.0,0.900987060538639,14.75,25.414661295340377
2011-05-02,MILD_CHOP,0.75,0.8735348677134318,15.99,26.70863532525221
2011-05-03,HIGH_CHOP,0.5,0.8056194372200806,16.7,26.749439895156627
2011-05-04,HIGH_CHOP,0.5,0.7500522668164296,17.08,29.814940238635778
2011-05-05,HIGH_CHOP,0.5,0.7045882183043515,18.2,34.869706390226796
2011-05-06,HIGH_CHOP,0.5,0.667390360430833,18.4,39.25050372160568
2011-05-09,MILD_CHOP,0.75,0.6824102948979542,17.16,41.12509338314213
2011-05-10,NORMAL,1.0,0.7401538776437806,15.91,42.09562998086792
2011-05-11,NORMAL,1.0,0.7873986271630933,16.95,44.72319557263498
2011-05-12,NORMAL,1.0,0.826053422224349,16.03,47.00041908549976
2011-05-13,NORMAL,1.0,0.8576800727290128,17.07,46.91455051732615
2011-05-16,NORMAL,1.0,0.8835564231419195,18.24,45.11698652892736
2011-05-17,NORMAL,1.0,0.9047279825706613,17.55,43.55909773898175
2011-05-18,NORMAL,1.0,0.9220501675578139,16.23,39.38731441490641
2011-05-19,NORMAL,1.0,0.936222864365484,15.52,35.771768867374455
2011-05-20,MILD_CHOP,0.75,0.9023641617535777,17.43,32.7782170329605
2011-05-23,HIGH_CHOP,0.5,0.8292070414347453,18.27,30.603100262668004
2011-05-24,MILD_CHOP,0.75,0.8148057611738825,17.82,28.717999061747843
2011-05-25,MILD_CHOP,0.75,0.8030228955059038,17.07,27.590271328935163
2011-05-26,NORMAL,1.0,0.8388369145048302,16.09,26.612907293830837
2011-05-27,NORMAL,1.0,0.8681392936857701,15.98,28.064021075511864
2011-05-30,NORMAL,1.0,0.8921139675610845,15.98,29.32165301963542
2011-05-31,NORMAL,1.0,0.9117296098227055,15.45,30.688453705506788
2011-06-01,HIGH_CHOP,0.5,0.8368696807640317,18.3,28.363899456896597
2011-06-02,HIGH_CHOP,0.5,0.7756206478978441,18.09,27.192300604954635
2011-06-03,HIGH_CHOP,0.5,0.7255078028255089,17.95,26.1769149332716
2011-06-06,HIGH_CHOP,0.5,0.6845063841299618,18.49,24.166089681933133
2011-06-07,HIGH_CHOP,0.5,0.6509597688336051,18.07,22.25689830488741
2011-06-08,HIGH_CHOP,0.5,0.6235125381365859,18.79,23.155757380425186
2011-06-09,MILD_CHOP,0.75,0.6465102584753885,17.77,23.934768579224592
2011-06-10,HIGH_CHOP,0.5,0.6198720296616814,18.86,26.520864187879514
2011-06-13,HIGH_CHOP,0.5,0.5980771151777393,19.61,29.2240733741699
2011-06-14,HIGH_CHOP,0.5,0.5802449124181503,18.26,26.62885952027249
2011-06-15,HIGH_CHOP,0.5,0.5656549283421229,21.32,24.379674180228065
2011-06-16,HIGH_CHOP,0.5,0.5537176686435551,22.73,22.24260614164839
2011-06-17,HIGH_CHOP,0.5,0.5439508197992723,21.85,20.390480508212676
2011-06-20,HIGH_CHOP,0.5,0.53595976165395,19.99,20.36165362913705
2011-06-21,HIGH_CHOP,0.5,0.5294216231714136,18.86,20.336670333938173
2011-06-22,MILD_CHOP,0.75,0.569526782594793,18.52,20.315018144765812
2011-06-23,HIGH_CHOP,0.5,0.5568855493957396,19.29,21.93244960413164
2011-06-24,HIGH_CHOP,0.5,0.5465427222328778,21.1,21.776362562772036
2011-06-27,HIGH_CHOP,0.5,0.5380804090996273,20.56,21.641087126927047
2011-06-28,HIGH_CHOP,0.5,0.5311566983542405,19.17,19.984560789393477
2011-06-29,MILD_CHOP,0.75,0.5709463895625604,17.27,23.41981776088319
2011-06-30,NORMAL,1.0,0.6489561369148221,16.52,27.87856238759091
2011-07-01,NORMAL,1.0,0.7127822938394,15.87,31.922383594509643
2011-07-04,NORMAL,1.0,0.7650036949595089,15.87,35.55771290002759
2011-07-05,NORMAL,1.0,0.8077302958759618,16.06,39.7259251830838
2011-07-06,NORMAL,1.0,0.8426884238985142,16.34,43.338375828399194
2011-07-07,NORMAL,1.0,0.8712905286442387,15.95,48.103437630644564
2011-07-08,NORMAL,1.0,0.8946922507089226,15.95,52.233157859257204
2011-07-11,NORMAL,1.0,0.9138391142163911,18.39,51.446252937731856
2011-07-12,NORMAL,1.0,0.9295047298134109,19.87,50.764268672409884
2011-07-13,NORMAL,1.0,0.942322051665518,19.91,50.17321564246417
2011-07-14,NORMAL,1.0,0.9528089513626965,20.8,48.52648584253236
2011-07-15,NORMAL,1.0,0.9613891420240244,19.53,47.66910262877466
2011-07-18,NORMAL,1.0,0.9684092980196561,20.95,47.493307527384175
2011-07-19,NORMAL,1.0,0.9741530620160823,19.21,49.91649745748472
2011-07-20,NORMAL,1.0,0.9788525052858854,19.09,52.01659539690518
2011-07-21,NORMAL,1.0,0.9826975043248152,17.56,49.47210922561714
2011-07-22,NORMAL,1.0,0.9858434126293942,17.52,47.00152330557691
2011-07-25,MILD_CHOP,0.75,0.9429627921513225,19.35,43.7319019651768
2011-07-26,MILD_CHOP,0.75,0.9078786481238093,20.23,44.52556996137267
2011-07-27,HIGH_CHOP,0.5,0.8337188939194803,22.98,45.21341555807575
2011-07-28,HIGH_CHOP,0.5,0.7730427313886656,23.74,45.80954840855176
2011-07-29,NORMAL,1.0,0.814307689317999,25.25,46.70287743933987
2011-08-01,HIGH_CHOP,0.5,0.7571608367147264,23.66,41.589246508818874
2011-08-02,HIGH_CHOP,0.5,0.7104043209484125,24.79,37.15743303570068
2011-08-03,HIGH_CHOP,0.5,0.672148989866883,23.38,36.63337593641814
2011-08-04,NORMAL,1.0,0.7317582644365406,31.66,39.107879187228754
2011-08-05,NORMAL,1.0,0.7805294890844423,32.0,43.63240021796742
2011-08-08,NORMAL,1.0,0.8204332183418164,48.0,48.544550745929406
2011-08-09,NORMAL,1.0,0.8530817240978497,35.06,52.95182734682853
2011-08-10,NORMAL,1.0,0.8797941378982406,42.99,57.14733392272353
2011-08-11,NORMAL,1.0,0.9016497491894695,39.0,56.77159439832584
2011-08-12,NORMAL,1.0,0.9195316129732023,36.36,56.44595347718117
2011-08-15,NORMAL,1.0,0.9341622287962563,31.87,55.389447608933196
2011-08-16,NORMAL,1.0,0.9461327326514823,32.85,54.8395257636452
2011-08-17,NORMAL,1.0,0.9559267812603036,31.58,52.52733651612357
2011-08-18,NORMAL,1.0,0.9639400937584301,42.67,51.35294634902834
2011-08-19,NORMAL,1.0,0.9704964403478065,43.05,50.33514153754581
2011-08-22,NORMAL,1.0,0.9758607239209325,42.44,50.19933370495339
2011-08-23,NORMAL,1.0,0.9802496832080356,36.27,49.00133098499991
2011-08-24,NORMAL,1.0,0.9838406498974837,35.9,46.85365742465983
2011-08-25,NORMAL,1.0,0.9867787135524866,39.76,41.47483808403714
2011-08-26,NORMAL,1.0,0.9891825838156707,35.59,37.939491718465646
2011-08-29,NORMAL,1.0,0.9911493867582759,32.28,34.875524868303685
2011-08-30,NORMAL,1.0,0.9927585891658621,32.89,34.319514064336445
2011-08-31,NORMAL,1.0,0.9940752093175236,31.62,35.90937371475369
2011-09-01,NORMAL,1.0,0.9951524439870647,31.82,36.65069307806813
2011-09-02,NORMAL,1.0,0.9960338178075983,33.92,34.507489863245056
2011-09-05,NORMAL,1.0,0.9967549418425803,33.92,30.742974294868517
2011-09-06,NORMAL,1.0,0.9973449524166564,37.0,28.18559673960227
2011-09-07,NORMAL,1.0,0.9978276883409007,33.38,26.477583106380465
2011-09-08,NORMAL,1.0,0.9982226540971006,34.32,25.51969853210182
2011-09-09,NORMAL,1.0,0.9985458078976277,38.52,25.688881200032604
2011-09-12,NORMAL,1.0,0.9988102064616953,38.59,26.797904147636473
2011-09-13,NORMAL,1.0,0.9990265325595689,36.91,27.759057368893156
2011-09-14,NORMAL,1.0,0.9992035266396473,34.6,30.327825267473166
2011-09-15,NORMAL,1.0,0.9993483399778931,31.97,32.554090779575844
2011-09-16,NORMAL,1.0,0.999466823618276,30.98,34.48352089006483
2011-09-19,NORMAL,1.0,0.9995637647785893,32.73,39.31254140142245
2011-09-20,NORMAL,1.0,0.9996430802733911,32.86,43.82564592746854
2011-09-21,NORMAL,1.0,0.9997079747691382,37.32,47.766140291568895
2011-09-22,NORMAL,1.0,0.9997610702656585,41.35,53.099657288601094
2011-09-23,NORMAL,1.0,0.9998045120355388,41.25,58.11067128542081
2011-09-26,NORMAL,1.0,0.9998400553018043,39.02,62.54802817667111
2011-09-27,NORMAL,1.0,0.9998691361560217,37.71,61.81889502116072
2011-09-28,NORMAL,1.0,0.9998929295821994,41.08,61.261869288983725
2011-09-29,NORMAL,1.0,0.9999123969308903,38.84,60.89603449633338
2011-09-30,NORMAL,1.0,0.9999283247616375,42.96,61.651541622457714
2011-10-03,NORMAL,1.0,0.9999413566231579,45.45,62.43680585583049
2011-10-04,NORMAL,1.0,0.9999520190553108,40.82,63.91270237293877
2011-10-05,NORMAL,1.0,0.9999607428634361,37.81,65.19181268776595
2011-10-06,NORMAL,1.0,0.9999678805246295,36.27,58.37083194119512
