dt,signal_raw,signal_exec,position_raw_t1,position_vt
2000-07-03,0.0,0.0,0.0,0.0
2000-07-04,0.0,0.0,0.0,0.0
2000-07-05,0.0,0.0,0.0,0.0
2000-07-06,0.0,0.0,0.0,0.0
2000-07-07,0.0,0.0,0.0,0.0
2000-07-10,0.0,0.0,0.0,0.0
2000-07-11,0.0,0.0,0.0,0.0
2000-07-12,-1.0,0.0,0.0,0.0
2000-07-13,-1.0,0.0,0.0,0.0
2000-07-14,0.0,0.0,0.0,0.0
2000-07-17,-1.0,-1.0,0.0,0.0
2000-07-18,-1.0,-1.0,-1.0,-0.7310279767054955
2000-07-19,-1.0,-1.0,-1.0,-0.757268761950185
2000-07-20,0.0,-1.0,-1.0,-0.757268761950185
2000-07-21,-1.0,-1.0,-1.0,-0.757268761950185
2000-07-24,-1.0,-1.0,-1.0,-0.7585288904493472
2000-07-25,-1.0,-1.0,-1.0,-0.7585288904493472
2000-07-26,0.0,-1.0,-1.0,-0.7965803094045955
2000-07-27,0.0,-1.0,-1.0,-0.7965803094045955
2000-07-28,0.0,-1.0,-1.0,-0.7965803094045955
2000-07-31,0.0,0.0,-1.0,-0.922919941710875
2000-08-01,0.0,0.0,0.0,0.0
2000-08-02,0.0,0.0,0.0,0.0
2000-08-03,0.0,0.0,0.0,0.0
2000-08-04,0.0,0.0,0.0,0.0
2000-08-07,0.0,0.0,0.0,0.0
2000-08-08,0.0,0.0,0.0,0.0
2000-08-09,0.0,0.0,0.0,0.0
2000-08-10,0.0,0.0,0.0,0.0
2000-08-11,0.0,0.0,0.0,0.0
2000-08-14,0.0,0.0,0.0,0.0
2000-08-15,0.0,0.0,0.0,0.0
2000-08-16,0.0,0.0,0.0,0.0
2000-08-17,0.0,0.0,0.0,0.0
2000-08-18,0.0,0.0,0.0,0.0
2000-08-21,0.0,0.0,0.0,0.0
2000-08-22,0.0,0.0,0.0,0.0
2000-08-23,0.0,0.0,0.0,0.0
2000-08-24,0.0,0.0,0.0,0.0
2000-08-25,0.0,0.0,0.0,0.0
2000-08-28,0.0,0.0,0.0,0.0
2000-08-29,-1.0,0.0,0.0,0.0
2000-08-30,-1.0,-1.0,0.0,0.0
2000-08-31,-1.0,-1.0,-1.0,-1.0812557124294022
2000-09-01,-1.0,-1.0,-1.0,-1.0812557124294022
2000-09-04,-1.0,-1.0,-1.0,-1.1141377781515245
2000-09-05,-1.0,-1.0,-1.0,-1.1141377781515245
2000-09-06,-1.0,-1.0,-1.0,-1.1278083589605619
2000-09-07,0.0,-1.0,-1.0,-1.1278083589605619
2000-09-08,-1.0,-1.0,-1.0,-1.1278083589605619
2000-09-11,-1.0,-1.0,-1.0,-1.1527878708263026
2000-09-12,-1.0,-1.0,-1.0,-1.1527878708263026
2000-09-13,-1.0,-1.0,-1.0,-1.078110296387539
2000-09-14,-1.0,-1.0,-1.0,-1.078110296387539
2000-09-15,0.0,-1.0,-1.0,-1.078110296387539
2000-09-18,0.0,-1.0,-1.0,-0.983967942809361
2000-09-19,0.0,-1.0,-1.0,-0.983967942809361
2000-09-20,1.0,0.0,-1.0,-1.0158464013246036
2000-09-21,0.0,0.0,0.0,0.0
2000-09-22,0.0,0.0,0.0,0.0
2000-09-25,-1.0,1.0,0.0,0.0
2000-09-26,0.0,1.0,1.0,0.9930466173865382
2000-09-27,0.0,0.0,1.0,0.9580101161704808
2000-09-28,0.0,0.0,0.0,0.0
2000-09-29,0.0,0.0,0.0,0.0
2000-10-02,1.0,0.0,0.0,0.0
2000-10-03,1.0,0.0,0.0,0.0
2000-10-04,1.0,1.0,0.0,0.0
2000-10-05,0.0,1.0,1.0,0.8335049844894156
2000-10-06,0.0,1.0,1.0,0.8335049844894156
2000-10-09,0.0,1.0,1.0,0.7805298103455821
2000-10-10,0.0,1.0,1.0,0.7805298103455821
2000-10-11,0.0,0.0,1.0,0.794161296681056
2000-10-12,0.0,0.0,0.0,0.0
2000-10-13,0.0,0.0,0.0,0.0
2000-10-16,0.0,0.0,0.0,0.0
2000-10-17,1.0,0.0,0.0,0.0
2000-10-18,1.0,1.0,0.0,0.0
2000-10-19,1.0,1.0,1.0,0.755468525578781
2000-10-20,1.0,1.0,1.0,0.755468525578781
2000-10-23,1.0,1.0,1.0,0.8204603675076834
2000-10-24,0.0,1.0,1.0,0.8204603675076834
2000-10-25,0.0,0.0,1.0,0.7890057955323471
2000-10-26,1.0,0.0,0.0,0.0
2000-10-27,1.0,0.0,0.0,0.0
2000-10-30,1.0,0.0,0.0,0.0
2000-10-31,0.0,0.0,0.0,0.0
2000-11-01,0.0,0.0,0.0,0.0
2000-11-02,0.0,0.0,0.0,0.0
2000-11-03,0.0,0.0,0.0,0.0
2000-11-06,0.0,0.0,0.0,0.0
2000-11-07,1.0,0.0,0.0,0.0
2000-11-08,0.0,1.0,0.0,0.0
2000-11-09,0.0,1.0,1.0,0.7322905843329808
2000-11-10,0.0,1.0,1.0,0.7322905843329808
2000-11-13,1.0,0.0,1.0,0.6814167497479993
2000-11-14,0.0,0.0,0.0,0.0
2000-11-15,0.0,0.0,0.0,0.0
2000-11-16,0.0,0.0,0.0,0.0
2000-11-17,0.0,0.0,0.0,0.0
2000-11-20,0.0,0.0,0.0,0.0
2000-11-21,0.0,0.0,0.0,0.0
2000-11-22,0.0,0.0,0.0,0.0
2000-11-23,0.0,0.0,0.0,0.0
2000-11-24,0.0,0.0,0.0,0.0
2000-11-27,-1.0,0.0,0.0,0.0
2000-11-28,-1.0,0.0,0.0,0.0
2000-11-29,-1.0,-1.0,0.0,0.0
2000-11-30,0.0,-1.0,-1.0,-0.7455405493424704
2000-12-01,0.0,-1.0,-1.0,-0.7455405493424704
2000-12-04,0.0,-1.0,-1.0,-0.7897286684208483
2000-12-05,-1.0,-1.0,-1.0,-0.7897286684208483
2000-12-06,-1.0,-1.0,-1.0,-0.8145838590559688
2000-12-07,-1.0,-1.0,-1.0,-0.8145838590559688
2000-12-08,-1.0,-1.0,-1.0,-0.8145838590559688
2000-12-11,-1.0,-1.0,-1.0,-0.8557006772322382
2000-12-12,0.0,-1.0,-1.0,-0.8557006772322382
2000-12-13,0.0,0.0,-1.0,-0.8761331826593242
2000-12-14,0.0,0.0,0.0,0.0
2000-12-15,0.0,0.0,0.0,0.0
2000-12-18,1.0,0.0,0.0,0.0
2000-12-19,1.0,0.0,0.0,0.0
2000-12-20,1.0,1.0,0.0,0.0
2000-12-21,1.0,1.0,1.0,0.7525538312632587
2000-12-22,1.0,1.0,1.0,0.7525538312632587
2000-12-25,0.0,1.0,1.0,0.7897512524782468
2000-12-26,0.0,1.0,1.0,0.7897512524782468
2000-12-27,0.0,0.0,1.0,0.8714708763653684
2000-12-28,0.0,0.0,0.0,0.0
2000-12-29,0.0,0.0,0.0,0.0
2001-01-01,0.0,0.0,0.0,0.0
2001-01-02,1.0,0.0,0.0,0.0
2001-01-03,1.0,1.0,0.0,0.0
2001-01-04,1.0,1.0,1.0,0.6455917968154057
2001-01-05,1.0,1.0,1.0,0.6455917968154057
2001-01-08,0.0,1.0,1.0,0.5952552232390563
2001-01-09,0.0,1.0,1.0,0.5952552232390563
2001-01-10,-1.0,0.0,1.0,0.611854401143232
2001-01-11,0.0,0.0,0.0,0.0
2001-01-12,-1.0,0.0,0.0,0.0
2001-01-15,0.0,-1.0,0.0,0.0
2001-01-16,1.0,-1.0,-1.0,-0.6019260990609313
2001-01-17,0.0,1.0,-1.0,-0.5613924217702659
2001-01-18,0.0,1.0,1.0,0.5613924217702659
2001-01-19,-1.0,1.0,1.0,0.5613924217702659
2001-01-22,-1.0,0.0,1.0,0.5073732406865941
2001-01-23,-1.0,0.0,0.0,0.0
2001-01-24,0.0,-1.0,0.0,0.0
2001-01-25,0.0,-1.0,-1.0,-0.5019971544192406
2001-01-26,0.0,-1.0,-1.0,-0.5019971544192406
2001-01-29,0.0,0.0,-1.0,-0.5035350347618992
2001-01-30,0.0,0.0,0.0,0.0
2001-01-31,0.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,0.0
2001-02-02,0.0,0.0,0.0,0.0
2001-02-05,0.0,0.0,0.0,0.0
2001-02-06,0.0,0.0,0.0,0.0
2001-02-07,0.0,0.0,0.0,0.0
2001-02-08,0.0,0.0,0.0,0.0
2001-02-09,0.0,0.0,0.0,0.0
2001-02-12,0.0,0.0,0.0,0.0
2001-02-13,0.0,0.0,0.0,0.0
2001-02-14,0.0,0.0,0.0,0.0
2001-02-15,0.0,0.0,0.0,0.0
2001-02-16,0.0,0.0,0.0,0.0
2001-02-19,0.0,0.0,0.0,0.0
2001-02-20,0.0,0.0,0.0,0.0
2001-02-21,1.0,0.0,0.0,0.0
2001-02-22,1.0,0.0,0.0,0.0
2001-02-23,1.0,0.0,0.0,0.0
2001-02-26,0.0,1.0,0.0,0.0
2001-02-27,0.0,1.0,1.0,0.9625989132545406
2001-02-28,0.0,0.0,1.0,0.9987674931180346
2001-03-01,-1.0,0.0,0.0,0.0
2001-03-02,-1.0,0.0,0.0,0.0
2001-03-05,-1.0,0.0,0.0,0.0
2001-03-06,-1.0,0.0,0.0,0.0
2001-03-07,-1.0,-1.0,0.0,0.0
2001-03-08,0.0,-1.0,-1.0,-0.8577363599702662
2001-03-09,0.0,-1.0,-1.0,-0.8577363599702662
2001-03-12,0.0,-1.0,-1.0,-0.8192711256525146
2001-03-13,1.0,-1.0,-1.0,-0.8192711256525146
2001-03-14,1.0,1.0,-1.0,-0.8102509434272684
2001-03-15,1.0,1.0,1.0,0.8102509434272684
2001-03-16,1.0,1.0,1.0,0.8102509434272684
2001-03-19,1.0,1.0,1.0,0.8227807966827917
2001-03-20,1.0,1.0,1.0,0.8227807966827917
2001-03-21,1.0,1.0,1.0,0.7996281066428098
2001-03-22,1.0,1.0,1.0,0.7996281066428098
2001-03-23,1.0,1.0,1.0,0.7996281066428098
2001-03-26,0.0,1.0,1.0,0.8050766030413128
2001-03-27,0.0,1.0,1.0,0.8050766030413128
2001-03-28,1.0,0.0,1.0,0.7507132003574025
2001-03-29,0.0,0.0,0.0,0.0
2001-03-30,1.0,0.0,0.0,0.0
2001-04-02,1.0,1.0,0.0,0.0
2001-04-03,1.0,1.0,1.0,0.8010524201852943
2001-04-04,0.0,1.0,1.0,0.9001370232997303
2001-04-05,0.0,1.0,1.0,0.9001370232997303
2001-04-06,0.0,1.0,1.0,0.9001370232997303
2001-04-09,0.0,0.0,1.0,0.770556438377119
2001-04-10,0.0,0.0,0.0,0.0
2001-04-11,0.0,0.0,0.0,0.0
2001-04-12,0.0,0.0,0.0,0.0
2001-04-13,0.0,0.0,0.0,0.0
2001-04-16,0.0,0.0,0.0,0.0
2001-04-17,0.0,0.0,0.0,0.0
2001-04-18,-1.0,0.0,0.0,0.0
2001-04-19,0.0,0.0,0.0,0.0
2001-04-20,-1.0,0.0,0.0,0.0
2001-04-23,1.0,-1.0,0.0,0.0
2001-04-24,0.0,-1.0,-1.0,-0.5871427357064178
2001-04-25,1.0,0.0,-1.0,-0.5892489818355758
2001-04-26,0.0,0.0,0.0,0.0
2001-04-27,0.0,0.0,0.0,0.0
2001-04-30,0.0,1.0,0.0,0.0
2001-05-01,-1.0,1.0,1.0,0.6278257347219197
2001-05-02,-1.0,-1.0,1.0,0.6078229469976969
2001-05-03,-1.0,-1.0,-1.0,-0.6078229469976969
2001-05-04,0.0,-1.0,-1.0,-0.6078229469976969
2001-05-07,0.0,-1.0,-1.0,-0.6745931480357682
2001-05-08,1.0,-1.0,-1.0,-0.6745931480357682
2001-05-09,1.0,1.0,-1.0,-0.6824438190383739
2001-05-10,1.0,1.0,1.0,0.6824438190383739
2001-05-11,0.0,1.0,1.0,0.6824438190383739
2001-05-14,1.0,1.0,1.0,0.6574947489993092
2001-05-15,0.0,1.0,1.0,0.6574947489993092
2001-05-16,0.0,0.0,1.0,0.6536999403610645
2001-05-17,0.0,0.0,0.0,0.0
2001-05-18,-1.0,0.0,0.0,0.0
2001-05-21,-1.0,0.0,0.0,0.0
2001-05-22,-1.0,0.0,0.0,0.0
2001-05-23,-1.0,-1.0,0.0,0.0
2001-05-24,0.0,-1.0,-1.0,-0.7251946738085824
2001-05-25,0.0,-1.0,-1.0,-0.7251946738085824
2001-05-28,0.0,-1.0,-1.0,-0.7275126936926369
2001-05-29,1.0,-1.0,-1.0,-0.7275126936926369
2001-05-30,1.0,1.0,-1.0,-0.7055460266595956
2001-05-31,1.0,1.0,1.0,0.7055460266595956
2001-06-01,1.0,1.0,1.0,0.7055460266595956
2001-06-04,1.0,1.0,1.0,0.6837351724631705
2001-06-05,0.0,1.0,1.0,0.6837351724631705
2001-06-06,0.0,0.0,1.0,0.6675802414565604
2001-06-07,0.0,0.0,0.0,0.0
2001-06-08,1.0,0.0,0.0,0.0
2001-06-11,1.0,0.0,0.0,0.0
2001-06-12,1.0,0.0,0.0,0.0
2001-06-13,1.0,1.0,0.0,0.0
2001-06-14,1.0,1.0,1.0,0.6430761061964162
2001-06-15,1.0,1.0,1.0,0.6430761061964162
2001-06-18,0.0,1.0,1.0,0.6850677833547812
2001-06-19,0.0,1.0,1.0,0.6850677833547812
2001-06-20,0.0,0.0,1.0,0.7519802402698818
2001-06-21,1.0,0.0,0.0,0.0
2001-06-22,0.0,0.0,0.0,0.0
2001-06-25,0.0,0.0,0.0,0.0
2001-06-26,0.0,0.0,0.0,0.0
2001-06-27,0.0,0.0,0.0,0.0
2001-06-28,0.0,0.0,0.0,0.0
2001-06-29,1.0,0.0,0.0,0.0
2001-07-02,0.0,0.0,0.0,0.0
2001-07-03,0.0,0.0,0.0,0.0
2001-07-04,0.0,0.0,0.0,0.0
2001-07-05,1.0,0.0,0.0,0.0
2001-07-06,0.0,0.0,0.0,0.0
2001-07-09,0.0,0.0,0.0,0.0
2001-07-10,0.0,0.0,0.0,0.0
2001-07-11,0.0,0.0,0.0,0.0
2001-07-12,0.0,0.0,0.0,0.0
2001-07-13,0.0,0.0,0.0,0.0
2001-07-16,0.0,0.0,0.0,0.0
2001-07-17,0.0,0.0,0.0,0.0
2001-07-18,0.0,0.0,0.0,0.0
2001-07-19,0.0,0.0,0.0,0.0
2001-07-20,1.0,0.0,0.0,0.0
2001-07-23,1.0,0.0,0.0,0.0
2001-07-24,1.0,0.0,0.0,0.0
2001-07-25,1.0,1.0,0.0,0.0
2001-07-26,0.0,1.0,1.0,0.6678241038225012
2001-07-27,1.0,1.0,1.0,0.6678241038225012
2001-07-30,0.0,1.0,1.0,0.7050907160527673
2001-07-31,0.0,1.0,1.0,0.7050907160527673
2001-08-01,0.0,0.0,1.0,0.7387928722725332
2001-08-02,0.0,0.0,0.0,0.0
