,TrendCore_ret_scaled,TrendImpulse_ret_scaled,HookCore_ret_scaled,StockScore_ret_scaled
TrendCore_ret_scaled,1.0,0.4716616595482842,-0.029396112578264237,-0.011921250814960139
TrendImpulse_ret_scaled,0.4716616595482842,1.0,-0.019039662682979363,0.04533387819710591
HookCore_ret_scaled,-0.029396112578264237,-0.019039662682979363,1.0,-0.025953107770357822
StockScore_ret_scaled,-0.011921250814960139,0.04533387819710591,-0.025953107770357822,1.0
