dt,TrendCore_pos,TrendCore_ret,TrendImpulse_pos,TrendImpulse_ret,HookCore_pos,HookCore_ret,StockScore_pos,StockScore_ret,TrendCore_pos_scaled,TrendImpulse_pos_scaled,HookCore_pos_scaled,StockScore_pos_scaled,pos_sum,ret_avg,pnl_gross,turnover,cost,pnl_net,equity
2000-06-21,-0.4962261259701184,-0.00318139093811,0.0,0.0,0.0,0.0,0.0,0.0064111717856256,-0.4501485062038858,0.0,0.0,0.0,-0.11253712655097145,0.0008074452118789001,-9.086756399219174e-05,,,,1.0
2000-06-22,-0.4872388224917154,-0.0004134643699588,0.0,0.0,0.0,0.0,0.0,0.0008332176568712,-0.44199572862149844,0.0,0.0,0.0,-0.11049893215537461,0.00010493832172810002,-1.1595572493132197e-05,0.0022468258696007465,3.3702388044011194e-07,-1.1932596373572308e-05,0.9999880674036264
2000-06-23,-0.4872388224917154,0.006536560716578,0.0,-0.0,0.0,-0.0,0.0,-0.013415517021305,-0.44199572862149844,0.0,0.0,0.0,-0.11049893215537461,-0.0017197390761817498,0.00019002933150395377,0.0,0.0,0.00019002933150395377,1.000178094467587
2000-06-26,-0.4872388224917154,-0.007077336379739,0.0,0.0,0.0,0.0,0.0,0.0145253950486656,-0.44199572862149844,0.0,0.0,0.0,-0.11049893215537461,0.0018620146672316499,-0.00020575063238674251,0.0,0.0,-0.00020575063238674251,0.999972307192151
2000-06-27,-0.4703604622693888,0.0024382310555646,0.0,-0.0,0.0,-0.0,-1.0,-0.0050041805845753,-0.4266846270014501,0.0,0.0,-0.41271192486346614,-0.20984913796622906,-0.000641487382252675,0.0001346155741819367,0.25421959005558165,3.813293850833724e-05,9.648263567359947e-05,1.0000687871559495
2000-06-28,-0.4703604622693888,-0.0036563462695391,0.0,0.0,0.0,0.0,0.0,0.0077734983333801,-0.4266846270014501,0.0,0.0,0.0,-0.10667115675036253,0.00102928801596025,-0.00010979534329176547,0.25,3.75e-05,-0.00014729534329176546,0.99992148168063
2000-06-29,0.5604079644888694,0.0073413379612288,0.0,-0.0,0.0,-0.0,0.0,-0.0156078976659905,0.5083706698961993,0.0,0.0,0.0,0.12709266747404982,-0.002066639926190425,-0.00026265478092791453,0.25769210668956455,3.865381600343468e-05,-0.0003013085969313492,0.9996201967419434
2000-06-30,0.5604079644888694,0.0031395486285764,0.0,0.0,0.5148162488170033,0.0028150036796268,1.0,0.0056022555486698,0.5083706698961993,0.0,1.255685675290154,0.41271192486346614,0.5441920675124549,0.00288920196421825,0.001572280790368975,0.3787040622042508,5.680560933063761e-05,0.0015154751810383374,1.0011350963405703
2000-07-03,0.5604079644888694,0.0012509111544047,0.0,0.0,0.5166591487534352,0.0011542691488161,0.0,0.0022321437839405,0.5083706698961993,0.0,1.2601806830846598,0.0,0.4421378382452148,0.001159331021790325,0.0005125841117849903,0.250460724984108,3.75691087476162e-05,0.0004750150030373741,1.0016106505313995
2000-07-04,0.5675247657752721,-0.0021909303255871,0.0,-0.0,0.5209498382007177,-0.0020333352797855,1.0,-0.0039095274593137,0.5148266328138329,0.0,1.2706460817360268,0.41271192486346614,0.5495461598533314,-0.0020334482661715754,-0.0011174736859350042,0.2528518726834213,3.792778090251319e-05,-0.0011554014668375173,1.0004533881165754
2000-07-05,0.5675247657752721,0.0,0.0,0.0,0.0,-7.814247573010765e-05,1.0,0.0,0.5148266328138329,0.0,0.0,0.41271192486346614,0.23188463941932475,-1.9535618932526912e-05,-4.5300099520023365e-06,0.13023745955017943,1.9535618932526912e-05,-2.4065628884529248e-05,1.0004293115766207
2000-07-06,0.5667534258765217,-0.0063875155514093,0.0,-0.0,0.0,-0.0,0.0,-0.0112550428397311,0.5141269165251768,0.0,0.0,0.0,0.1285317291312942,-0.0044106395977851,-0.0005669071340782749,0.2501928349746876,3.752892524620314e-05,-0.000604436059324478,0.9998246160258987
2000-07-07,0.5667534258765217,0.0003206525833065,0.0,0.0,0.0,0.0,0.0,0.0005657708778921,0.5141269165251768,0.0,0.0,0.0,0.1285317291312942,0.00022160586529965,2.8483385052600686e-05,0.0,0.0,2.8483385052600686e-05,0.999853094415422
2000-07-10,0.5667534258765217,0.0060581815044982,0.0,0.0,0.0,0.0,0.0,0.0106892719618389,0.5141269165251768,0.0,0.0,0.0,0.1285317291312942,0.004186863366584275,0.0005381447881435486,0.0,0.0,0.0005381447881435486,1.000391160147091
2000-07-11,0.6646642470111579,0.0018997339324989,0.0,0.0,0.0,0.0,1.0,0.0033519584457053,0.6029461212552527,0.0,0.0,0.41271192486346614,0.2539145115296797,0.0013129230945510498,0.0003333702262289653,0.27447770528365906,4.1171655792548855e-05,0.00029219857043641644,1.0006834730139633
2000-07-12,0.6646642470111579,0.0055373626049856,0.0,0.0,0.0,0.0,0.0,0.0083310673469885,0.6029461212552527,0.0,0.0,0.0,0.15073653031381318,0.003467107487993525,0.0005226197529651847,0.25,3.75e-05,0.00048511975296518467,1.0011689243331883
2000-07-13,0.7152091834116945,-0.000735655024752,0.0,-0.0,0.0,-0.0,0.0,-0.0011068069751907,0.6487976522934271,0.0,0.0,0.0,0.16219941307335678,-0.000460615499985675,-7.471156375016726e-05,0.012636234100134147,1.895435115020122e-06,-7.660699886518739e-05,1.0010922277865382
2000-07-14,0.7152091834116945,-0.0023800660347473,0.0,-0.0,0.0,-0.0,0.0,-0.0033277900926753,0.6487976522934271,0.0,0.0,0.0,0.16219941307335678,-0.00142696403185565,-0.00023145272844377721,0.0,0.0,-0.00023145272844377721,1.000860522258993
2000-07-17,0.7152091834116945,0.0129934226267686,0.0,0.0,0.0,0.0,0.0,0.0181673039554493,0.6487976522934271,0.0,0.0,0.0,0.16219941307335678,0.007790181645554475,0.0012635628906437725,0.0,0.0,0.0012635628906437725,1.0021251724736298
2000-07-18,0.7138544772467784,0.0011695982711381,0.6799965132668245,-0.00010199947699,0.0,0.0,0.0,0.0016353233407304,0.6475687388514152,1.053188549008156,0.0,0.0,0.4251893219648928,0.000675730533719625,0.0002873134074632225,0.17033780485793515,2.555067072869027e-05,0.00026176273673453223,1.0023874915013269
2000-07-19,0.7138544772467784,-0.0007780431039931,0.6799965132668245,-0.0007411406872831,0.0,-0.0,0.0,-0.0010899183640251,0.6475687388514152,1.053188549008156,0.0,0.0,0.4251893219648928,-0.000652275538825325,-0.00027734059408742503,0.0,0.0,-0.00027734059408742503,1.0021094887589281
2000-07-20,0.7396051835708123,0.0011667468855802,0.6799965132668245,0.0011114083322966,0.0,0.0,0.0,0.0016344323987151,0.6709283351701242,1.053188549008156,0.0,0.0,0.4310292210445701,0.000978146904147975,0.00042160989816205946,0.006437676581008467,9.6565148715127e-07,0.00042064424667490817,1.002531020349913
2000-07-21,0.7396051835708123,0.0123769477757204,0.0,0.0112774250042474,0.0,0.0,0.0,0.0167345335736621,0.6709283351701242,0.0,0.0,0.0,0.16773208379253104,0.010097226588407475,0.0016936288561989349,0.16999912831670613,2.549986924750592e-05,0.0016681289869514288,1.0042033714052765
2000-07-24,0.7396051835708123,0.00552241102747,0.0,0.0,0.0,0.0,0.0,0.0074667013565372,0.6709283351701242,0.0,0.0,0.0,0.16773208379253104,0.0032472780960018,0.0005446727216962245,0.0,0.0,0.0005446727216962245,1.0047503335887162
2000-07-25,0.7420435732997701,-0.0031506125750819,0.6799965132668245,-0.00010199947699,0.0,-0.0,0.0,-0.0042598573469572,0.673140305553359,1.053188549008156,0.0,0.0,0.43158221364037874,-0.0018781173497572751,-0.0008105620432846463,0.1706087257489456,2.5591308862341837e-05,-0.0008361533521469881,1.0039102082292153
2000-07-26,0.7420435732997701,-0.0019824846772002,0.7527710239652364,-0.0018276324943623,0.0,-0.0,0.0,-0.0026716553428052,0.673140305553359,1.1659027759664993,0.0,0.0,0.45976077037996455,-0.001620443128591925,-0.0007450161811583434,0.018193627674602975,2.729044151190446e-06,-0.0007477452253095338,1.0031595391643724
2000-07-27,0.77904939958896,0.0043544959883218,0.7527710239652364,0.0044174473331869,0.0,0.0,0.0,0.005868248368432,0.7067099153604864,1.1659027759664993,0.0,0.0,0.4681531728317464,0.0036600479224851747,0.0017134630476276762,0.009251456572297478,1.3877184858446215e-06,0.0017120753291418316,1.0048770238625688
