strategy,sharpe_all,sortino_all,maxDD_all,sharpe_oos1_2017_2021,sortino_oos1,maxDD_oos1,sharpe_oos2_2022_now,sortino_oos2,maxDD_oos2,avg_turnover_daily,hit_rate,win_loss_ratio
trend,0.3104758865974237,0.35266124347687927,-0.08601380986132645,0.4846882468886003,0.6769866995321657,-0.07815362405097226,-0.01981000197582669,-0.027693778000399908,-0.08601380986132601,0.024664087851345353,0.31704766173614224,1.2150513830915723
hook,,inf,-0.0596399402324036,-1.0999599619245333,-1.4126730350271974,-0.33958213828709505,-0.9008277062667355,-1.157101969080839,-0.24773534057524338,0.08625535083254561,0.3115194979829673,inf
combo,,inf,-0.02430934925028183,-0.5186217219010734,-0.6714055395614377,-0.12845952395452154,-0.7926694667562615,-1.0960649057784209,-0.08885654337847282,0.04121514809422467,0.3101748095024653,inf
