momentum_window,entry_threshold,exit_threshold,adx_trending_threshold,adx_window,weekly_vol_updates,update_frequency,use_regime_scaling,vol_window,vol_percentile_window,sharpe,annual_return,annual_vol,activity_pct,long_pct,short_pct
20,0.012,0.003,20,14,True,5,False,63,252,0.3992260515122365,0.08403328371391194,0.2104904812589273,70.09081735620585,38.20383451059536,31.886982845610497
20,0.012,0.002,20,14,True,5,False,63,252,0.3963695242373437,0.08366541531158588,0.21107933429687076,70.63572149344097,38.46619576185671,32.16952573158426
20,0.01,0.003,20,14,True,5,False,63,252,0.38909350104866797,0.08220287329972063,0.21126765951672544,71.16044399596367,38.72855701311806,32.43188698284561
20,0.01,0.002,20,14,True,5,False,63,252,0.38490658822839047,0.08153843067075915,0.21183952980918327,71.76589303733603,39.011099899091825,32.754793138244196
20,0.008,0.003,20,14,True,5,False,63,252,0.38200595296443557,0.0809883485848603,0.21200807986466183,71.96770938446015,39.21291624621595,32.754793138244196
20,0.012,0.004,20,14,True,5,False,63,252,0.379642721508368,0.079782271451982,0.21015093120973602,69.54591321897074,38.00201816347124,31.543895055499494
20,0.008,0.002,20,14,True,5,False,63,252,0.37575647486887603,0.07987609749370865,0.21257410806182972,72.51261352169526,39.47527749747729,33.037336024217964
20,0.012,0.005,20,14,True,5,False,63,252,0.375032474609795,0.07868362864235902,0.20980484083205309,68.9606458123108,37.73965691220989,31.22098890010091
20,0.01,0.004,20,14,True,5,False,63,252,0.3699035963222013,0.07802468598771131,0.21093248825769342,70.67608476286578,38.54692230070636,32.129162462159435
20,0.008,0.004,20,14,True,5,False,63,252,0.36271687042673506,0.07678182099589848,0.2116852764680202,71.50353178607467,39.05146316851665,32.45206861755802
20,0.01,0.005,20,14,True,5,False,63,252,0.36189547810161726,0.07621530771377255,0.21060033165811462,70.13118062563068,38.284561049445,31.84661957618567
20,0.012,0.003,18,14,True,5,False,63,252,0.36113880668583587,0.07788572156956161,0.2156669959795167,75.37840565085772,40.90817356205852,34.47023208879919
20,0.015,0.003,20,14,True,5,False,63,252,0.3594127151405132,0.07512561658651251,0.20902325772515307,68.85973763874874,37.49747729566095,31.36226034308779
20,0.012,0.002,18,14,True,5,False,63,252,0.3591961010738121,0.07768913205358197,0.2162861228764213,75.96367305751765,41.19071644803229,34.77295660948537
25,0.012,0.003,22,14,True,5,False,63,252,0.3563565459843021,0.07363912342990787,0.20664450887665683,66.5792129162462,36.67003027245207,29.909182643794146
20,0.008,0.005,20,14,True,5,False,63,252,0.3541074084948361,0.07484330459031847,0.21135763555031611,70.95862764883955,38.76892028254289,32.18970736629667
20,0.01,0.003,18,14,True,5,False,63,252,0.35124672004011154,0.07602412666015032,0.21644081587856126,76.52875882946518,41.47325933400605,35.05549949545913
20,0.015,0.002,20,14,True,5,False,63,252,0.349591434009512,0.07326859199449241,0.20958348765633333,69.42482341069626,37.78002018163471,31.64480322906155
20,0.012,0.003,22,14,True,5,False,63,252,0.3495725621999509,0.07196212015660208,0.20585746119124965,65.85267406659939,35.822401614530776,30.03027245206862
20,0.008,0.003,22,14,True,5,False,63,252,0.34922814500040994,0.07245260061015459,0.20746495277483878,67.38647830474268,36.71039354187689,30.67608476286579
20,0.01,0.003,22,14,True,5,False,63,252,0.34909706435347043,0.0720831720485621,0.20648461247321145,66.78102926337033,36.32694248234107,30.454086781029265
25,0.01,0.003,22,14,True,5,False,63,252,0.3488866082056174,0.07224117332876916,0.2070620414475571,67.26538849646822,37.013118062563066,30.25227043390515
25,0.008,0.003,22,14,True,5,False,63,252,0.3487394613622776,0.07229384505996207,0.20730044365372738,67.79011099899091,37.15438950554995,30.635721493440972
20,0.015,0.004,20,14,True,5,False,63,252,0.3484915817531468,0.0727520213370294,0.20876263630541048,68.33501513622603,37.31584258324924,31.01917255297679
