low_vol_threshold,medium_vol_threshold,low_vol_scale,medium_vol_scale,high_vol_scale,momentum_window,entry_threshold,exit_threshold,adx_trending_threshold,adx_window,weekly_vol_updates,update_frequency,use_regime_scaling,vol_window,vol_percentile_window,sharpe,annual_return,annual_vol,activity_pct,long_pct,short_pct
0.35,0.7,1.7,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5323275957305016,0.11517981793474981,0.21637018042750736,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5300801164212197,0.11486299060841666,0.21668986828614156,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5286612404578563,0.11473786833387543,0.21703476546626474,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5257980484720778,0.11923036238464363,0.226760754877498,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5245892237325355,0.11695884803268754,0.22295320365238697,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5243457475682223,0.11910524011010241,0.22715019748416235,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.5,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.523388312602099,0.10268665178067496,0.19619592052056678,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.7,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.5221239941462634,0.11878841278376924,0.22750996720233632,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.5,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5208378862338772,0.10236982445434181,0.19654834481140962,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.5,0.6,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5191971086370065,0.10224470217980058,0.1969284891593731,70.09081735620585,38.20383451059536,31.886982845610497
