date,price,ret_log,sma_20,mom_20,sma_60,mom_60,sma_120,mom_120,sma_sig_20,mom_sig_20,sma_sig_60,mom_sig_60,sma_sig_120,mom_sig_120,raw_signal_sma,raw_signal_mom,raw_signal,roll_vol21,leverage,desired_pos,rebalance_flag,position,turnover,cost,pnl_gross,pnl,cum_pnl
2000-06-21,1799.5,0.006411171785625925,1772.475,-0.015713624495009914,1763.4833333333333,0.014271964649560563,1794.3875,-0.04109981088542581,1,-1,1,1,1,-1,1,-1,-1,0.20523816121343721,0.4872388224917154,-0.4872388224917154,1,-0.4962261259701184,0.0,0.0,-0.003181390938110079,-0.003181390938110079,-0.09994153690249488
2000-06-22,1801.0,0.0008332176568707045,1771.975,-0.005537112707457248,1763.8333333333333,0.011728701889825242,1793.8208333333334,-0.037061462279606786,1,-1,1,1,1,-1,1,-1,-1,0.2041622484053807,0.48980651800739333,-0.48980651800739333,0,-0.4872388224917154,0.008987303478402986,1.348095521760448e-06,-0.0004134643699588491,-0.00041481246548060954,-0.1003563493679755
2000-06-23,1777.0,-0.013415517021304734,1769.775,-0.024459251572956576,1764.05,0.007342591587914822,1792.9958333333334,-0.05421530141151862,1,-1,1,1,-1,-1,1,-1,-1,0.20680259443788376,0.48355292771743486,-0.48355292771743486,0,-0.4872388224917154,0.0,0.0,0.006536560716578084,0.006536560716578084,-0.09381978865139741
2000-06-26,1803.0,0.014525395048666035,1768.725,-0.011579947430959421,1764.8666666666666,0.027553050271188928,1792.5291666666667,-0.030586764518126707,1,-1,1,1,1,-1,1,-1,-1,0.212602903563623,0.4703604622693888,-0.4703604622693888,1,-0.4872388224917154,0.0,0.0,-0.007077336379739032,-0.007077336379739032,-0.10089712503113644
2000-06-27,1794.0,-0.005004180584575839,1770.225,0.016863806052004725,1765.5333333333333,0.022548869686613064,1791.9875,-0.03559094510270263,1,1,1,1,1,-1,1,1,1,0.2130154204445285,0.46944958159046085,0.46944958159046085,0,-0.4703604622693888,0.016878360222326583,2.531754033348988e-06,0.0024382310555646357,0.002435699301531287,-0.09846142572960516
2000-06-28,1808.0,0.007773498333380447,1772.125,0.021241715384246938,1766.55,0.03432123081806516,1791.3708333333334,-0.04011377919320313,1,1,1,1,1,-1,1,1,1,0.17844143255745282,0.5604079644888694,0.5604079644888694,1,-0.4703604622693888,0.0,0.0,-0.0036563462695391505,-0.0036563462695391505,-0.1021177719991443
2000-06-29,1780.0,-0.015607897665990942,1772.275,0.0016868151314795696,1768.0166666666667,0.050702103119962316,1790.5208333333333,-0.05572167685919412,1,1,1,1,-1,-1,1,1,1,0.18737839303909756,0.5336794620665491,0.5336794620665491,0,0.5604079644888694,1.0307684267582582,0.00015461526401373875,0.007341337961228814,0.007186722697215075,-0.09493104930192924
2000-06-30,1790.0,0.0056022555486697516,1774.475,0.02488816243525308,1769.7583333333334,0.06015336416068518,1789.7041666666667,-0.05330244787064535,1,1,1,1,1,-1,1,1,1,0.18787492888827512,0.5322689972086041,0.5322689972086041,0,0.5604079644888694,0.0,0.0,0.0031395486285764897,0.0031395486285764897,-0.09179150067335275
2000-07-03,1794.0,0.002232143783940856,1776.475,0.022548869686613064,1771.1416666666667,0.04736976872654785,1788.8458333333333,-0.055825927316272804,1,1,1,1,1,-1,1,1,1,0.17620376418885286,0.5675247657752721,0.5675247657752721,1,0.5604079644888694,0.0,0.0,0.001250911154404778,0.001250911154404778,-0.09054058951894797
2000-07-04,1787.0,-0.003909527459313422,1777.825,0.01522442712723061,1772.175,0.035311185693967906,1787.8708333333334,-0.06341870019188259,1,1,1,1,-1,-1,1,1,1,0.17666320039094024,0.5660488419699673,0.5660488419699673,0,0.5675247657752721,0.007116801286402685,1.067520192960403e-06,-0.002190930325587176,-0.0021919978457801362,-0.09273258736472811
