low_vol_threshold,medium_vol_threshold,low_vol_scale,medium_vol_scale,high_vol_scale,sharpe,annual_return,annual_vol,max_drawdown,annual_turnover,pct_active
0.35,0.75,1.3,0.6,0.9,0.3728547379444752,0.04071341882277207,0.1091937815976876,-0.2155855813332753,23.8404736873942,91.54389505549949
0.35,0.7,1.3,0.6,0.9,0.3687408307786514,0.040129377025037896,0.10882813530657486,-0.21084865458094307,23.643172009667342,91.54389505549949
0.35,0.75,1.5,0.6,0.9,0.3677073690662477,0.04062723279031514,0.11048794832010987,-0.21176084484146884,24.220463896806958,91.54389505549949
0.35,0.8,1.3,0.6,0.9,0.36654689886712133,0.04014870560822435,0.10953224739401997,-0.2155855813332738,23.617213361841763,91.54389505549949
0.35,0.7,1.5,0.6,0.9,0.36383272760681273,0.040042630452451,0.1100578024298142,-0.20700082124622093,24.013011254133843,91.54389505549949
0.35,0.75,1.7,0.6,0.9,0.3624091105945885,0.04057679275982789,0.11196405270622295,-0.20920777687135816,24.604628209964535,91.54389505549949
0.35,0.8,1.5,0.6,0.9,0.3605706478523218,0.039984459419118344,0.11089216401079519,-0.21176084484146881,24.024657203115876,91.54389505549949
0.35,0.75,1.3,0.8,0.9,0.3601985508401029,0.03848731508643817,0.10685027742802669,-0.2269216883938676,22.9775843538761,91.54389505549949
0.35,0.75,1.5,0.8,0.9,0.3594937376714506,0.03875443204685809,0.10780280151159861,-0.2244061689664158,23.343449852814917,91.54389505549949
0.35,0.7,1.7,0.6,0.9,0.3588287089426714,0.040000937950729634,0.11147641466201753,-0.20311812451343045,24.38696759401567,91.54389505549949
0.35,0.75,1.3,0.6,0.7,0.3587952674699072,0.03898509262693603,0.10865553746526431,-0.22045714030104713,23.69773276054584,91.54389505549949
0.35,0.75,1.7,0.8,0.9,0.3583946351355307,0.03905877857427786,0.10898259835699652,-0.22167891808686743,23.708151293418798,91.54389505549949
0.35,0.8,1.3,0.8,0.9,0.358370662807336,0.03831119016394753,0.10690381256052772,-0.22692168839386764,22.900640525016343,91.54389505549949
0.35,0.7,1.3,0.8,0.9,0.35809495215811854,0.03824082124164452,0.10678961267445931,-0.22549655100219818,22.925236806873688,91.54389505549949
0.35,0.7,1.5,0.8,0.9,0.35741339871862765,0.03850214893861966,0.10772441401652749,-0.22297639432035413,23.288407414986,91.54389505549949
0.35,0.8,1.5,0.8,0.9,0.35741006754183324,0.038554190934798525,0.10787102668921303,-0.2244061689664144,23.273948069671942,91.54389505549949
0.35,0.7,1.7,0.8,0.9,0.35635000947186657,0.03880231834900635,0.10888822033852015,-0.22024411586837744,23.65001731983086,91.54389505549949
0.35,0.7,1.3,0.6,0.7,0.3563402548510222,0.03867175040881932,0.10852478742539796,-0.21858986269342034,23.62208329906211,91.54389505549949
0.35,0.8,1.7,0.8,0.9,0.35619592699311986,0.03884877582158273,0.1090657497112063,-0.2216789180868678,23.64546432790965,91.54389505549949
0.35,0.8,1.3,0.6,0.7,0.35616786378422033,0.03874392535944713,0.108779958269676,-0.22045714030104668,23.615301562228087,91.54389505549949
0.35,0.8,1.7,0.6,0.9,0.35453710861058135,0.03986054942409639,0.11242983726106558,-0.21087441747440566,24.432981824368234,91.54389505549949
0.35,0.75,1.5,0.6,0.7,0.35289416968751564,0.03887554289107604,0.11016204355402061,-0.21665615710712993,24.140116518424634,91.54389505549949
0.35,0.7,1.5,0.6,0.7,0.35052361020064243,0.03855981830993936,0.11000633677105923,-0.21477977481626978,24.06003142174684,91.54389505549949
0.35,0.8,1.5,0.6,0.7,0.3499671935513854,0.03860430923444093,0.11030836588622325,-0.21665615710713046,24.067407485624408,91.54389505549949
0.35,0.7,1.7,1.0,0.9,0.34677536575800766,0.03726153208273914,0.10745149673850127,-0.23241665649484844,23.327960924356717,91.54389505549949
0.35,0.8,1.7,1.0,0.9,0.3464586489039122,0.03719457441776271,0.10735646096708745,-0.23107216945153744,23.26252702057593,91.54389505549949
0.35,0.75,1.7,0.6,0.7,0.34617998779174625,0.038711879123547364,0.11182587234602227,-0.21282073500211343,24.582520230223775,91.54389505549949
0.35,0.7,1.5,1.0,0.9,0.34433781415607206,0.03667797645712761,0.10651742256952126,-0.2342488289658407,22.981107218544906,91.54389505549949
0.35,0.75,1.7,1.0,0.9,0.34426909464240063,0.03697514817333991,0.10740188053111988,-0.23107216945153686,23.29325134956831,91.54389505549949
0.35,0.8,1.5,1.0,0.9,0.3440336534978841,0.03662131604802712,0.1064469003996795,-0.23290755112732375,22.920493754511472,91.54389505549949
0.35,0.7,1.7,0.6,0.7,0.34392379286516767,0.03839836930685526,0.11164790021349004,-0.2109351655347912,24.498038560994775,91.54389505549949
0.35,0.8,1.7,0.6,0.7,0.3430952024299556,0.03842411204812761,0.1119925658417566,-0.21282073500211313,24.517864423757086,91.54389505549949
0.35,0.7,1.3,0.8,0.7,0.34189321229949854,0.03645809698129821,0.10663591925703664,-0.23415318318148787,23.205920419615616,91.54389505549949
0.35,0.75,1.5,1.0,0.9,0.3418330525885847,0.036398797131348457,0.10648121021566763,-0.23290755112732375,22.94770033246724,91.54389505549949
0.35,0.7,1.3,1.0,0.9,0.3415447650456897,0.0361589094517705,0.10586872689128579,-0.23573668772676898,22.631427510766883,91.54389505549949
0.35,0.8,1.3,0.8,0.7,0.3413634708628939,0.03635926910655763,0.10651189189824314,-0.23243571907331517,23.122776904709777,91.54389505549949
0.35,0.7,1.5,0.8,0.7,0.3409625939057452,0.03674436449843713,0.10776655608325954,-0.23166119431407467,23.614668823764656,91.54389505549949
