momentum_window,entry_threshold,exit_threshold,sharpe,annual_return,annual_vol,max_drawdown,annual_turnover,pct_active
20,0.01,0.002,0.33390710382675426,0.03539635477567558,0.10600659395986006,-0.2331020388218802,21.905206123515207,91.54389505549949
20,0.012,0.002,0.3239540215337579,0.03433900748780948,0.10599963329744048,-0.24337165249159007,20.643428560532247,89.80827447023209
20,0.01,0.003,0.31553369420199645,0.033491604259407066,0.10614271906557977,-0.24697752748692978,23.47438939512449,90.43390514631685
20,0.015,0.002,0.30924889680050904,0.03280721657990711,0.10608676997502908,-0.24831700215444535,19.50359062336538,87.56811301715439
20,0.012,0.003,0.30610054618469984,0.032488807543332665,0.1061376987015536,-0.25722912018080507,22.08829461282042,88.7991927346115
20,0.015,0.003,0.30121531580721994,0.031997342839887206,0.10622747636234323,-0.2547172412589808,20.771853421754553,86.49848637739656
20,0.008,0.002,0.29785241666933104,0.03151768869111203,0.10581646119763484,-0.26090113162157175,23.084729239653957,92.79515640766903
20,0.008,0.003,0.2906083656793012,0.03078793061277679,0.10594302934400929,-0.2640230809783047,24.759304679289833,91.80625630676084
20,0.015,0.005,0.2807034280787993,0.02985157170122963,0.1063455900967824,-0.2533410471427353,22.159093772278244,84.56104944500504
20,0.01,0.005,0.2761519464010353,0.029346790617996846,0.1062704463990221,-0.2558001671666409,25.6018466497231,88.59737638748739
20,0.012,0.005,0.2717193098922338,0.028875925138990715,0.10627115588672426,-0.25902571371504746,23.962056536552087,86.86175580221997
20,0.01,0.004,0.27123003402930745,0.02879552853741298,0.10616644517436262,-0.25397802191319546,24.634686204639152,89.52573158425832
20,0.015,0.004,0.2711646588283159,0.02880701793829525,0.10623441145600766,-0.2622205423643433,21.533052153620392,85.63067608476287
20,0.012,0.004,0.2616813654845918,0.027783095897092717,0.10617147249152759,-0.26439079072828947,23.11503260913692,87.83047426841574
25,0.008,0.002,0.2613757969120484,0.027725909765793897,0.10607680624355409,-0.25432032745090705,19.981859285115853,93.2795156407669
25,0.008,0.003,0.2606895572267435,0.027673956541190335,0.10615675148475544,-0.23400560455661798,20.95695091094289,92.45206861755803
25,0.012,0.003,0.25557198182856755,0.02714805319779912,0.10622468473875778,-0.22713894147432284,18.863530466677332,90.31281533804238
20,0.008,0.005,0.2519469815945032,0.026720337967453493,0.1060554002209029,-0.30002424539429523,27.14639991610865,90.03027245206862
25,0.012,0.002,0.24974193787029084,0.02650809968144226,0.10614196361049238,-0.2529100803625439,18.060581745347406,91.05953582240161
20,0.008,0.004,0.24859681561546212,0.02634289683977675,0.10596634866202319,-0.28629751692490374,26.11766098147858,90.91826437941474
25,0.01,0.002,0.2447455844675125,0.02595930296135118,0.10606648131295303,-0.25487161540652703,19.14558257100429,92.2502522704339
25,0.012,0.005,0.24321335346605596,0.025815285983449773,0.10614255186055267,-0.25102534335797627,19.76870781097698,89.22300706357214
25,0.012,0.004,0.23759883019852798,0.025211375889004645,0.10610900679914559,-0.25102534335797644,19.487292222573696,89.6670030272452
25,0.01,0.003,0.23721251569690105,0.025178504075325424,0.10614323616675153,-0.24618572765214844,20.04740781493493,91.48335015136226
25,0.015,0.003,0.22469810706111884,0.023887985925504972,0.10631146936635001,-0.24288222989059016,17.624257051680928,88.13319878910193
25,0.015,0.002,0.22062254566203926,0.023429103484045564,0.10619541812347431,-0.2720790690601174,16.94112688779812,89.00100908173562
25,0.008,0.005,0.22053854360210043,0.0233914580876917,0.10606516985935568,-0.26793618775871986,22.397035951573226,91.48335015136226
25,0.008,0.004,0.21603531165512013,0.02290977977228163,0.10604645877917827,-0.26824646032448873,21.989967036583103,91.8869828456105
25,0.015,0.004,0.21204739058764846,0.022516893598382617,0.10618802493150889,-0.2620313644538721,18.18639650916218,87.50756811301716
25,0.015,0.005,0.20690820494641926,0.021980363183249356,0.10623243862630469,-0.26297797625562974,18.458202995204964,87.12411705348133
25,0.01,0.004,0.2045774750348719,0.021694489458397036,0.10604534763516381,-0.26833359000807844,20.86485989996181,90.91826437941474
25,0.01,0.005,0.202130076122207,0.021441789964757044,0.1060791663274961,-0.26926597307485306,21.278020760826152,90.49445005045409
15,0.015,0.003,0.12222467116742772,0.0129844853308547,0.10623456955812209,-0.2590595308990749,23.74710840549381,82.744702320888
15,0.01,0.002,0.10575005771320012,0.011265272698609144,0.1065273432678512,-0.2780757208403534,26.8900427663804,88.85973763874874
15,0.012,0.003,0.10445965957343128,0.01109209301036407,0.10618542177582665,-0.3095152657104901,26.699399101498805,85.63067608476287
15,0.01,0.003,0.10246136875481095,0.010871480771022577,0.10610321629645533,-0.32296712093885777,28.551836459931437,87.66902119071645
15,0.015,0.002,0.10129628276111594,0.010783381842793618,0.1064538751952404,-0.24997908915225495,22.9285227065586,83.83451059535822
15,0.008,0.002,0.09705738603661423,0.010319319111523211,0.10632183219554582,-0.3121440187172107,28.039708380526303,90.29263370332997
15,0.012,0.002,0.09689397938696298,0.01032753830792062,0.10658596512664423,-0.2636195901880733,25.582204880836684,86.7204843592331
15,0.008,0.003,0.09011137575469552,0.009543601539888983,0.10590895389133691,-0.35597680185006486,29.825059145281692,89.26337033299697
15,0.015,0.004,0.0873087011684252,0.00927639448776285,0.10624822455974886,-0.2520375034779323,24.683365192356362,81.8970736629667
15,0.015,0.005,0.07736858813788423,0.008232232354432337,0.1064027734325599,-0.2711748207380136,25.36251501567459,80.92835519677094
15,0.012,0.004,0.0575513696691143,0.006110738501331665,0.1061788544124098,-0.32074395878001394,27.849717492325567,84.8234106962664
15,0.01,0.004,0.04954739548363003,0.005257250756746291,0.10610549162938816,-0.33541852773852926,29.78860308873172,86.74066599394551
15,0.012,0.005,0.04556676492982896,0.004844777879266061,0.10632262103150904,-0.33736373754292537,28.668660216838916,83.85469223007064
15,0.008,0.004,0.03638981776774705,0.0038540442287094976,0.10590996232263097,-0.36337517034032013,31.14137615924691,88.37537840565086
15,0.01,0.005,0.02993622743546733,0.0031796300208843217,0.10621345083439653,-0.35706951718381874,30.85564301511857,85.65085771947528
15,0.008,0.005,0.016564136119308823,0.0017561372708057032,0.1060204563737298,-0.38193801231738383,32.34183716786038,87.22502522704339
