sleeve,weight,weight_pct,type,min_weight,max_weight,data_start,data_end,individual_sharpe,correlation_to_portfolio
TrendMedium,0.1964158475970093,19.64158475970093,always_active,0.15,0.6,2000-01-03,2025-11-06,0.6001402399793405,0.6492555032846772
TrendImpulse,0.15,15.0,always_active,0.15,0.6,2000-01-03,2025-11-06,0.6323837604177945,0.7507737104376822
MomentumCore,0.35358415240299046,35.358415240299045,always_active,0.15,0.6,2000-01-03,2025-11-06,0.5744642007479378,0.7885154460863486
TightStocks,0.25,25.0,selective,0.0,0.25,2000-01-04,2025-11-12,0.444521937038525,0.3134315046287775
VolCore,0.050000000000000155,5.000000000000016,selective,0.05,0.25,2011-06-13,2025-11-12,0.05575012490520645,0.04188254102290779
