dt,copper_3m,ret_hook,ret_stocks,ret_combo_raw,scalar,ret_combo_net,equity_net,drawdown
2000-01-03,1888.5,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-04,1865.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-05,1875.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-06,1869.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-07,1876.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-10,1859.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-11,1859.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-12,1882.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-13,1882.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-14,1888.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-17,1897.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-18,1904.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-19,1934.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-20,1923.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-21,1918.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-24,1891.5,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-25,1882.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-26,1854.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-27,1864.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-01-28,1858.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-01-31,1868.0,0.0,0.0,0.0,2.189142486416951,0.0,1.0,0.0
2000-02-01,1856.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,1.0,0.0
2000-02-02,1827.0,-0.0,-0.0122743633299689,-0.00613718166498445,2.189142486416951,-0.013435165129676583,0.9865648348703234,-0.013435165129676574
2000-02-03,1817.0,-0.0021211353655417,-0.0001158078475143,-0.001118471606528,2.189142486416951,-0.0024484937137014677,0.9841492370739845,-0.015850762926015505
2000-02-04,1819.0,0.0004184279996263,0.0,0.00020921399981315,2.189142486416951,0.0004579992557441947,0.9845999766921057,-0.01540002330789425
2000-02-07,1823.0,0.0008360881572133,0.0,0.00041804407860665,2.189142486416951,0.0009151580536728451,0.9855010412904216,-0.014498958709578402
2000-02-08,1813.0,0.0019815260002957,-0.0,0.00099076300014785,2.189142486416951,0.0021689213775935826,0.987638515566517,-0.01236148443348295
2000-02-09,1815.0,-0.0004292660962883,0.0,-0.00021463304814415,2.189142486416951,-0.0004698623246815337,0.987174461437648,-0.012825538562352023
2000-02-10,1878.0,0.0133422669841729,0.0,0.00667113349208645,2.189142486416951,0.014604061760085529,1.0015912182404625,0.0
2000-02-11,1871.0,-0.0010873354256544,-0.0,-0.0005436677128272,2.189142486416951,-0.0011901660886431535,1.0003991583378298,-0.0011901660886433074
2000-02-14,1862.0,-0.0013802738265197,-0.0,-0.00069013691325985,2.189142486416951,-0.0015108080382617876,0.9988877472479427,-0.0026991760144113863
2000-02-15,1844.5,-4.3037933372717015e-05,-0.0,-2.1518966686358507e-05,2.189142486416951,-4.71080842368984e-05,0.9988406915598022,-0.0027461569456372903
2000-02-16,1833.0,-0.0,-0.0,-0.0,2.189142486416951,-0.0,0.9988406915598022,-0.0027461569456372903
2000-02-17,1845.0,0.0018200788027828,0.0,0.0009100394013914,2.189142486416951,0.0019922059178993632,1.0008305878965662,-0.000759421937856608
