dt,hook,stocks,combo_eqw,combo_10vol
2000-04-28,0.0,-8.01691587360261e-05,-4.008457936801305e-05,-5.197120710500542e-05
2000-05-01,-3.8129969500275566e-05,0.0,-1.9064984750137783e-05,-2.4720834728909963e-05
2000-05-02,-0.0055066772608612,-0.0105292327608327,-0.00801795501084695,-0.010397048723844666
2000-05-03,0.0023589864398249,-0.0049217753627047,-0.0012813944614399001,-0.001592185333858195
2000-05-04,-0.0006710340408437,0.0013721483598023,0.00035055715947930003,0.00043648439813915647
2000-05-05,-0.0045580135437611,-7.305558614182256e-05,-0.002315534564951461,-0.00287400029704006
2000-05-08,0.0047807816106974,-0.0,0.0023903908053487,0.005593426085489869
2000-05-09,-0.0017958728724189,0.0,-0.00089793643620945,-0.002048804302366848
2000-05-10,0.0018376571754922,-0.0,0.0009188285877461,0.0022192992919023474
2000-05-11,-0.0009239266101683,0.0,-0.00046196330508415,-0.0011109305936280684
2000-05-12,-0.0092673341626566,0.0,-0.0046336670813283,-0.011142061823496524
2000-05-15,-1.4516288728394498e-08,-9.57069443260518e-05,-4.7860730307390096e-05,-0.00011394502039718868
2000-05-16,-0.0067846564467175,-9.57069443260518e-05,-0.0034401816955217756,-0.008600454238804438
2000-05-17,0.0052458172453693,-0.0055768857037575,-0.00016553422919410006,-0.00041383557298525016
2000-05-18,-0.0007125046594314,-0.0001007870380648,-0.0004066458487481,-0.00101661462187025
2000-05-19,0.0032879967741323,-0.0,0.00164399838706615,0.004109995967665375
2000-05-22,-0.0001006436816627,-0.0,-5.032184083135e-05,-0.000125804602078375
2000-05-23,-0.0,-0.0,-0.0,-0.0
2000-05-24,0.0,0.0,0.0,0.0
2000-05-25,-0.0,-0.0,-0.0,-0.0
2000-05-26,0.0,0.0,0.0,0.0
2000-05-29,-0.0006109222746494,0.0,-0.0003054611373247,-0.0007636528433117499
2000-05-30,0.0115760318061081,0.018233789429367,0.014904910617737549,0.03726227654434387
2000-05-31,-0.0009243985928527,-8.213928254099282e-05,-0.0005032689376968464,-0.0007910560695085281
2000-06-01,-0.0011620096984703,0.0,-0.00058100484923515,-0.0010172107983967425
2000-06-02,0.0051948802423231,0.0099743155295226,0.00758459788592285,0.01332085852130961
2000-06-05,0.0011985859860677,-0.0028346827532331,-0.0008180483835826999,-0.0013187576966068643
2000-06-06,0.001037184952658,-9.278192022290685e-05,0.0004722015162175466,0.0007693585610361407
2000-06-07,-0.0078482617111515,-0.0,-0.00392413085557575,-0.0064233511364321415
2000-06-08,0.0039780431586011,0.0,0.00198902157930055,0.0031656580683981214
2000-06-09,0.0012704482772335,0.0,0.00063522413861675,0.001007912396928103
2000-06-12,-3.9069097866865614e-05,-0.0,-1.9534548933432807e-05,-3.104451078678497e-05
2000-06-13,0.0,0.0,0.0,0.0
2000-06-14,0.0,0.0,0.0,0.0
2000-06-15,0.0,0.0,0.0,0.0
2000-06-16,0.0,0.0,0.0,0.0
2000-06-19,-0.0011832503426291,0.0,-0.00059162517131455,-0.001015824754536797
2000-06-20,0.0047074627190573,-0.0,0.00235373135952865,0.0040279549156546504
2000-06-21,-0.0031806419704429,0.0,-0.00159032098522145,-0.0027169486787075427
2000-06-22,-0.0004095877630796,0.0,-0.0002047938815398,-0.0003464826642716195
2000-06-23,0.0065731105574049,-0.0,0.00328655527870245,0.005556363946524629
2000-06-26,0.0069779179828761,0.0,0.00348895899143805,0.005856380486760953
2000-06-27,-0.0023650705969883,0.002335068013171,-1.5001291908649976e-05,-2.5009538538646536e-05
2000-06-28,0.0036863492904873,-7.215640124486672e-05,0.0018070964446212166,0.003016851553423534
2000-06-29,-0.0087154246798348,-0.0,-0.0043577123399174,-0.0108942808497935
2000-06-30,0.0030022743443357,0.0029737333502265,0.0029880038472811,0.007470009618202749
2000-07-03,-8.026798151357371e-05,-8.181201312964926e-05,-8.103999732161148e-05,-0.00020259999330402869
2000-07-04,-0.0,-0.0023546374070319,-0.00117731870351595,-0.0029432967587898753
2000-07-05,0.0,-1.0829754901421909e-07,-5.4148774507109545e-08,-1.3537193626777386e-07
2000-07-06,-0.0,-8.711241677093513e-05,-4.355620838546757e-05,-0.00010889052096366891
2000-07-07,0.0,0.0,0.0,0.0
2000-07-10,0.0,0.0,0.0,0.0
2000-07-11,0.0,0.0022572408791607,0.00112862043958035,0.002821551098950875
2000-07-12,0.0,-0.0001057434497091,-5.287172485455e-05,-0.000132179312136375
2000-07-13,-0.0,-0.0,-0.0,-0.0
2000-07-14,-0.0,-0.0,-0.0,-0.0
2000-07-17,0.0065037608003884,0.0,0.0032518804001942,0.0081297010004855
2000-07-18,0.0005836596601892,0.0,0.0002918298300946,0.0007295745752365
2000-07-19,-0.0003887444718415,-0.0,-0.00019437223592075,-0.000485930589801875
2000-07-20,0.0006025325904394,0.0,0.0003012662952197,0.00075316573804925
2000-07-21,0.0062956729602023,0.0,0.00314783648010115,0.007869591200252875
2000-07-24,-0.0053346325492071,0.0,-0.00266731627460355,-0.006668290686508874
2000-07-25,0.0031391841957979,-0.0,0.00156959209789895,0.003923980244747376
2000-07-26,0.0020489142492739,-0.0,0.00102445712463695,0.0025611428115923747
2000-07-27,-0.0045764566580166,0.0,-0.0022882283290083,-0.00572057082252075
2000-07-28,0.0004156526128186,-0.0006293596891788,-0.0001068535381801,-0.00026713384545025
2000-07-31,-0.0001174522912723,-0.000138410770604,-0.00012793153093815,-0.00031982882734537496
2000-08-01,0.0,0.0015811075013032,0.0007905537506516,0.001976384376629
2000-08-02,0.0,0.000999223708334,0.000499611854167,0.0012490296354174999
2000-08-03,-0.0,-0.0071635441133473,-0.00358177205667365,-0.008954430141684126
2000-08-04,-0.0,-0.0001347162843961,-6.735814219805e-05,-0.00016839535549512499
2000-08-07,0.0,-0.0043697861471735,-0.00218489307358675,-0.0054622326839668745
2000-08-08,-0.0,-0.0001486369899308,-7.43184949654e-05,-0.0001857962374135
2000-08-09,0.0,0.0,0.0,0.0
2000-08-10,-0.0,-0.0,-0.0,-0.0
2000-08-11,-0.0,-0.0,-0.0,-0.0
2000-08-14,0.0,0.0,0.0,0.0
2000-08-15,0.0,0.0,0.0,0.0
2000-08-16,-0.0,-0.0,-0.0,-0.0
2000-08-17,0.0,-0.0038392649707536,-0.0019196324853768,-0.004799081213442
2000-08-18,0.0,-0.0001726077429553,-8.630387147765e-05,-0.000215759678694125
2000-08-21,-0.0,0.0156050279697795,0.00780251398488975,0.019506284962224375
2000-08-22,0.0,-0.0074136891634882,-0.0037068445817441,-0.009267111454360249
2000-08-23,-0.0,0.0010211764392368,0.0005105882196184,0.001276470549046
2000-08-24,0.0,-0.0037501660197527,-0.00187508300987635,-0.004687707524690875
2000-08-25,-0.0,-0.0001917914722903,-9.589573614515e-05,-0.00023973934036287497
2000-08-28,0.0,0.0,0.0,0.0
