dt,copper_3m,ret_hook,ret_stocks,ret_combo_raw,lev,ret_combo_net,equity_net,drawdown
2000-01-03,1888.5,0.0,0.0,0.0,,,1.0,0.0
2000-01-04,1865.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-05,1875.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-06,1869.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-07,1876.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-10,1859.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-11,1859.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-12,1882.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-13,1882.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-14,1888.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-17,1897.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-18,1904.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-19,1934.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-20,1923.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-21,1918.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-24,1891.5,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-25,1882.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-26,1854.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-27,1864.0,0.0,0.0,0.0,,,1.0,0.0
2000-01-28,1858.0,-0.0,-0.0,-0.0,,,1.0,0.0
2000-01-31,1868.0,0.0,0.0,0.0,,,1.0,0.0
2000-02-01,1856.0,-0.0,-0.0,-0.0,2.5,-0.0,1.0,0.0
2000-02-02,1827.0,-0.0,-0.0122743633299689,-0.00613718166498445,2.5,-0.015342954162461123,0.9846570458375389,-0.01534295416246112
2000-02-03,1817.0,-0.0,-0.0001158078475143,-5.790392375715e-05,2.5,-0.000144759809392875,0.9845145070712661,-0.015485492928733913
2000-02-04,1819.0,0.0,0.0,0.0,2.5,0.0,0.9845145070712661,-0.015485492928733913
2000-02-07,1823.0,-0.0008931791876304,0.0,-0.0004465895938152,2.5,-0.001116473984538,0.9834153222367208,-0.01658467776327921
2000-02-08,1813.0,0.0020955969091012,-0.0,0.0010477984545506,2.5,0.0026194961363765,0.9859913748737734,-0.014008625126226582
2000-02-09,1815.0,-0.0004292660962883,0.0,-0.00021463304814415,2.5,-0.000536582620360375,0.9854623090381909,-0.014537690961809124
2000-02-10,1878.0,-0.0134587526622173,0.0,-0.00672937633110865,2.5,-0.016823440827771624,0.9688834421940876,-0.03111655780591238
2000-02-11,1871.0,0.0010573211680555,-0.0,0.00052866058402775,2.5,0.001321651460069375,0.9701639684101004,-0.02983603158989956
2000-02-14,1862.0,-4.315355446057964e-05,-0.0,-2.157677723028982e-05,2.5,-5.394194307572455e-05,0.9701116358805424,-0.02988836411945761
2000-02-15,1844.5,-0.0,-0.0,-0.0,2.5,-0.0,0.9701116358805424,-0.02988836411945761
2000-02-16,1833.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9701116358805424,-0.02988836411945761
2000-02-17,1845.0,0.0,0.0,0.0,2.5,0.0,0.9701116358805424,-0.02988836411945761
2000-02-18,1844.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9701116358805424,-0.02988836411945761
2000-02-21,1821.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9701116358805424,-0.02988836411945761
2000-02-22,1833.0,0.0,0.0,0.0,2.5,0.0,0.9701116358805424,-0.02988836411945761
2000-02-23,1856.0,0.0,0.0,0.0,2.5,0.0,0.9701116358805424,-0.02988836411945761
2000-02-24,1868.0,0.0,0.0,0.0,2.5,0.0,0.9701116358805424,-0.02988836411945761
2000-02-25,1826.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9701116358805424,-0.02988836411945761
2000-02-28,1745.0,-0.0241744504153562,0.0193649650054821,-0.002404742704937051,2.5,-0.006011856762342628,0.9642794636821467,-0.035720536317853324
2000-02-29,1733.0,-0.002909047304264,-6.423125845833598e-05,-0.001486639281361168,2.5,-0.00371659820340292,0.9606956243598473,-0.039304375640152656
2000-03-01,1773.0,0.0097664600198814,0.0,0.0048832300099407,2.5,0.01220807502485175,0.9724238686180791,-0.027576131381920943
2000-03-02,1752.0,-0.0046827777691707,-0.0,-0.00234138888458535,2.5,-0.005853472211463375,0.9667318125253594,-0.033268187474640554
2000-03-03,1761.0,0.0020465916153024,-0.0021373588204428,-4.538360257019987e-05,2.5,-0.00011345900642549967,0.9666221280944305,-0.03337787190556951
2000-03-06,1768.0,-5.977581231102438e-05,-6.079137885269316e-05,-6.028359558185877e-05,2.5,-0.00015070898895464693,0.9664764494508042,-0.03352355054919576
2000-03-07,1749.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9664764494508042,-0.03352355054919576
2000-03-08,1728.0,-0.0,-0.0,-0.0,2.5,-0.0,0.9664764494508042,-0.03352355054919576
2000-03-09,1754.0,0.0,0.0,0.0,2.5,0.0,0.9664764494508042,-0.03352355054919576
2000-03-10,1756.0,0.0,0.0,0.0,2.5,0.0,0.9664764494508042,-0.03352355054919576
2000-03-13,1738.5,-0.0,-0.0,-0.0,2.5,-0.0,0.9664764494508042,-0.03352355054919576
2000-03-14,1771.0,0.0,0.0,0.0,2.5,0.0,0.9664764494508042,-0.03352355054919576
