date,price,ret,iv,rv,vol_spread,vol_spread_zscore,pos_raw,pos,pnl_gross,pnl_net
2011-06-13,8896.25,-0.0029978706712988634,25.49,,,,0.0,,,
2011-06-14,9132.5,0.026556133202191967,25.18,,,,0.0,,,
2011-06-15,9113.0,-0.002135231316725994,24.98,,,,0.0,,,
2011-06-16,9029.25,-0.009190167892022427,25.36,,,,0.0,,,
2011-06-17,9049.5,0.0022427111886369477,25.02,,,,0.0,,,
2011-06-20,8940.0,-0.01210011602850991,24.82,,,,0.0,,,
2011-06-21,9008.0,0.0076062639821028455,24.67,,,,0.0,,,
2011-06-22,8944.5,-0.007049289520426272,24.35,,,,0.0,,,
2011-06-23,8897.0,-0.005310526021577555,23.96,,,,0.0,,,
2011-06-24,8982.5,0.009609980892435699,23.52,,,,0.0,,,
2011-06-27,8910.5,-0.008015585861397168,23.31,,,,0.0,,,
2011-06-28,9007.0,0.010829919757589401,22.96,,,,0.0,,,
2011-06-29,9232.0,0.024980570667258784,23.07,,,,0.0,,,
2011-06-30,9363.0,0.014189774696707014,22.66,,,,0.0,,,
2011-07-01,9369.0,0.00064082024991996,22.29,,,,0.0,,,
2011-07-04,9397.0,0.0029885793574553343,21.97,,,,0.0,,,
2011-07-05,9475.0,0.008300521443013631,21.98,,,,0.0,,,
2011-07-06,9459.5,-0.0016358839050132357,22.51,,,,0.0,,,
2011-07-07,9658.0,0.020984195782018045,21.91,,,,0.0,,,
2011-07-08,9589.0,-0.007144336301511678,21.48,,,,0.0,,,
2011-07-11,9510.0,-0.008238606736886034,21.38,18.19685050342844,3.183149496571559,,0.0,,,
2011-07-12,9580.0,0.007360672975814886,21.97,18.113040346046176,3.8569596539538225,,0.0,,,
2011-07-13,9578.0,-0.00020876826722338038,21.87,16.098767094833235,5.771232905166766,,0.0,,,
2011-07-14,9555.0,-0.0024013363959073386,21.4,16.108305750083787,5.291694249916212,,0.0,,,
2011-07-15,9600.5,0.004761904761904745,20.85,15.569678167601639,5.2803218323983625,,0.0,,,
2011-07-18,9628.0,0.002864434144054906,20.85,15.567503185702991,5.28249681429701,,0.0,,,
2011-07-19,9768.0,0.014540922309929316,20.57,15.037854620942404,5.532145379057596,,0.0,,,
2011-07-20,9695.0,-0.007473382473382473,20.44,15.515916548473896,4.924083451526105,,0.0,,,
2011-07-21,9631.5,-0.0065497679216091065,20.36,15.473823992482604,4.8861760075173954,,0.0,,,
2011-07-22,9632.0,5.1912993822345044e-05,20.46,15.194823391193813,5.265176608806188,,0.0,,,
2011-07-25,9612.0,-0.0020764119601328623,20.57,15.174001205624297,5.3959987943757035,,0.0,,,
2011-07-26,9762.5,0.01565751144402827,20.48,15.170757585415956,5.309242414584045,,0.0,,,
2011-07-27,9731.0,-0.00322663252240718,20.09,15.201638581090904,4.888361418909096,,0.0,,,
2011-07-28,9770.75,0.0040848833624498315,19.42,13.099434180814947,6.320565819185054,,0.0,,,
2011-07-29,9778.25,0.0007675971650078495,19.29,12.428799475588393,6.861200524411606,,0.0,,,
2011-08-01,9599.0,-0.01833150103546133,19.96,14.305022136797579,5.654977863202422,,0.0,,,
2011-08-02,9641.5,0.004427544535889227,20.61,14.336416515059932,6.273583484940067,,0.0,,,
2011-08-03,9506.5,-0.014001970647720796,22.47,15.022199820650265,7.447800179349734,,0.0,,,
2011-08-04,9338.5,-0.01767211907642141,24.16,16.246456043335893,7.913543956664107,,0.0,,,
2011-08-05,9036.5,-0.03233924077742678,26.07,17.765507733323243,8.304492266676757,,0.0,,,
2011-08-08,8779.5,-0.02844021468488911,29.38,19.792100557719692,9.587899442280307,,0.0,,,
2011-08-09,8734.5,-0.005125576627370565,33.46,19.739713456023672,13.720286543976329,,0.0,,,
2011-08-10,8607.0,-0.014597286622016092,32.83,19.617032795205077,13.212967204794921,,0.0,,,
2011-08-11,8880.5,0.0317764610200999,33.25,23.37356562141771,9.876434378582289,,0.0,,,
2011-08-12,8869.0,-0.001294972129947669,31.28,23.3832021185641,7.8967978814359014,,0.0,,,
2011-08-15,8917.25,0.005440297666027716,29.76,23.41433674286447,6.345663257135531,,0.0,,,
2011-08-16,8842.0,-0.008438700271944821,28.33,23.36028632151819,4.96971367848181,,0.0,,,
2011-08-17,8977.0,0.015268038905225101,26.58,23.434023265688626,3.145976734311372,,0.0,,,
2011-08-18,8785.0,-0.021387991533920014,26.16,24.184397711227582,1.9756022887724178,,0.0,,,
2011-08-19,8839.5,0.006203756402959559,26.61,24.454988505260747,2.1550114947392522,,0.0,,,
2011-08-22,8733.0,-0.012048192771084376,26.71,24.563570582788866,2.1464294172111344,,0.0,,,
2011-08-23,8862.0,0.014771556166265798,26.58,25.45376368103711,1.1262363189628886,,0.0,,,
2011-08-24,8882.5,0.002313247573911159,26.01,24.577198093937927,1.4328019060620747,,0.0,,,
2011-08-25,9033.5,0.01699971854770621,25.62,25.670581482314304,-0.05058148231430337,,0.0,,,
2011-08-26,9076.25,0.0047323850113467625,24.72,25.695371603169253,-0.9753716031692541,,0.0,,,
2011-08-29,9076.25,0.0,24.72,25.681132457122192,-0.9611324571221935,,0.0,,,
2011-08-30,9159.0,0.009117201487398363,24.75,25.431547184512937,-0.6815471845129366,,0.0,,,
2011-08-31,9277.5,0.012938093678349194,23.8,25.874205333404465,-2.074205333404464,,0.0,,,
2011-09-01,9153.0,-0.013419563459983852,23.2,25.840090643748137,-2.640090643748138,,0.0,,,
2011-09-02,9089.0,-0.0069922429804435415,22.86,25.265540750746407,-2.4055407507464075,,0.0,,,
2011-09-05,8979.75,-0.01202002420508308,23.04,22.984349115364804,0.0556508846351953,,0.0,,,
2011-09-06,8956.25,-0.0026169993596704133,22.68,20.604134731305496,2.0758652686945034,,0.0,,,
2011-09-07,9108.5,0.016999302163293706,27.07,21.188540195109443,5.881459804890557,,0.0,,,
2011-09-08,9133.5,0.0027446890267333046,27.05,20.301415830510706,6.748584169489295,,0.0,0.0,,
2011-09-09,8849.5,-0.031094323096293897,28.1,20.7150599693321,7.384940030667902,,0.0,0.0,-0.0,-0.0
